date	close	actual
5:00	342	352
5:10	341	414
5:20	256	314
5:30	166	146
5:40	151	151
5:50	187	172
6:00	159	153
6:10	91	97
6:20	75	84
6:30	44	92
6:40	46	66
6:50	47	52
7:00	78	74
7:10	85	75
7:20	81	105
7:30	81	117
7:40	86	142
7:50	91	158
8:00	183	215
8:10	164	180
8:20	138	173
8:30	158	162
8:40	153	138
8:50	115	114
9:00	85	100
9:10	78	110
9:20	87	130
9:30	93	113
9:40	79	99
9:50	74	90
10:00	67	85
10:10	71	92
10:20	71	105
10:30	77	105
10:40	73	91
10:50	71	78
11:00	77	103
11:10	74	107
11:20	77	110
11:30	74	108
11:40	76	108
11:50	66	93
12:00	62	99
12:10	72	93
12:20	59	78
12:30	71	123
12:40	72	98
12:50	69	150
13:00	68	114
13:10	77	109
13:20	79	109
13:30	91	109
13:40	85	118
13:50	76	80
14:00	87	126
14:10	79	155
14:20	81	172
14:30	79	149
14:40	81	122
14:50	98	127
15:00	79	107
15:10	72	102
15:20	87	146
15:30	110	165
15:40	95	156
15:50	114	174
16:00	135	170
16:10	108	137
16:20	124	152
16:30	101	118
16:40	77	116
16:50	90	124
17:00	103	151
17:10	97	157
17:20	96	148
17:30	104	157
17:40	116	128
17:50	123	137
18:00	107	118
18:10	90	100
18:20	62	91
18:30	46	85
18:40	54	108
18:50	77	123
19:00	85	108
19:10	60	90
19:20	51	44
19:30	41	46
19:40	44	52
19:50	43	72
20:00	38	65
20:10	42	61
20:20	44	51
20:30	44	52
20:40	77	99
20:50	92	118
21:00	108	141
21:10	105	103
21:20	117	158
21:30	114	145
21:40	110	147
21:50	100	115
22:00	100	125
22:10	121	130
22:20	139	150
22:30	188	218
22:40	227	223
22:50	208	184
23:00	197	168
23:10	196	255
23:20	197	220
23:30	205	216
23:40	207	200
23:50	200	201
