date	close	actual
5:20	25	19
5:30	29	26
5:40	34	35
5:50	48	48
6:00	56	56
6:10	46	58
6:20	41	54
6:30	42	51
6:40	42	52
6:50	52	59
7:00	48	55
7:10	33	56
7:20	30	60
7:30	26	50
7:40	26	46
7:50	28	38
8:00	27	40
8:10	26	32
8:20	27	36
8:30	24	29
8:40	22	33
8:50	25	34
9:00	33	52
9:10	49	65
9:20	72	84
9:30	92	102
9:40	86	97
9:50	82	97
10:00	87	113
10:10	89	140
10:20	80	126
10:30	79	106
10:40	89	111
10:50	92	102
11:00	97	125
11:10	97	110
11:20	94	139
11:30	91	117
11:40	90	105
11:50	94	103
12:00	128	147
12:10	109	152
12:20	116	163
12:30	117	155
12:40	115	117
12:50	108	155
13:00	120	147
13:10	119	144
13:20	120	139
13:30	117	122
13:40	118	110
13:50	103	142
14:00	87	147
14:10	46	105
14:20	45	91
14:30	74	140
14:40	83	124
14:50	84	125
15:00	77	82
15:10	89	100
15:20	83	110
15:30	88	122
15:40	86	132
15:50	84	117
16:00	81	104
16:10	74	111
16:20	51	77
16:30	42	71
16:40	33	54
16:50	37	68
17:00	32	65
17:10	30	65
17:20	27	50
17:30	30	61
17:40	30	58
17:50	27	59
18:00	33	59
18:10	39	62
18:20	40	51
18:30	33	44
18:40	36	52
18:50	42	63
19:00	48	80
19:10	57	95
19:20	63	97
19:30	66	87
19:40	64	85
19:50	60	69
20:00	71	74
20:10	74	94
20:20	90	99
20:30	88	89
20:40	85	119
20:50	67	107
21:00	55	74
21:10	58	86
21:20	70	100
21:30	80	99
21:40	83	97
21:50	81	101
22:00	78	101
22:10	76	111
22:20	77	111
22:30	92	85
22:40	89	88
22:50	89	92
23:00	86	91
23:10	84	102
23:20	62	95
23:30	70	96
23:40	83	68
23:50	82	101
