date	close	actual
4:40	242	313
4:50	242	300
5:00	390	508
5:10	538	905
5:20	613	1288
5:30	613	1568
5:40	189	152
5:50	260	162
6:00	219	217
6:10	204	270
6:20	182	309
6:30	154	281
6:40	121	201
6:50	89	94
7:00	69	65
7:10	49	62
7:20	35	45
7:30	28	41
7:40	30	43
7:50	29	41
8:00	28	35
8:10	26	34
8:20	28	49
8:30	32	59
8:40	34	52
8:50	34	44
9:00	31	37
9:10	26	40
9:20	24	38
9:30	24	42
9:40	26	44
9:50	30	54
10:00	38	97
10:10	49	96
10:20	60	73
10:30	62	62
10:40	67	70
10:50	58	77
11:00	61	91
11:10	68	97
11:20	77	89
11:30	73	88
11:40	69	122
11:50	82	125
12:00	90	107
12:10	92	87
12:20	84	106
12:30	75	97
12:40	66	98
12:50	56	79
13:00	57	99
13:10	52	79
13:20	52	100
13:30	50	95
13:40	53	90
13:50	52	66
14:00	81	96
14:10	106	121
14:20	110	107
14:30	110	107
14:40	103	99
14:50	79	75
15:00	68	68
15:10	58	89
15:20	56	108
15:30	50	98
15:40	52	97
15:50	50	93
16:00	49	82
16:10	44	85
16:20	42	70
16:30	42	68
16:40	44	78
16:50	40	73
17:00	36	71
17:10	40	86
17:20	42	90
17:30	44	93
17:40	43	82
17:50	37	82
18:00	31	83
18:10	32	89
18:20	43	76
18:30	45	69
18:40	55	67
18:50	53	79
19:00	62	80
19:10	74	113
19:20	79	120
19:30	83	119
19:40	85	117
19:50	70	129
20:00	67	101
20:10	82	96
20:20	99	98
20:30	107	116
20:40	139	157
20:50	147	177
21:00	180	201
21:10	198	201
21:20	209	200
21:30	198	203
21:40	201	220
21:50	196	263
22:00	193	287
22:10	195	216
22:20	195	183
22:30	194	177
22:40	207	239
22:50	222	254
23:00	208	219
23:10	201	230
23:20	205	205
23:30	209	186
23:40	190	173
23:50	146	171
