date	close	actual
4:30	315	348
4:40	393	392
4:50	543	454
5:00	601	562
5:10	605	556
5:20	450	512
5:30	156	187
5:40	153	136
5:50	133	141
6:00	120	157
6:10	78	93
6:20	114	113
6:30	87	103
6:40	179	184
6:50	278	311
7:00	281	283
7:10	200	206
7:20	209	289
7:30	212	285
7:40	183	200
7:50	170	238
8:00	192	243
8:10	180	195
8:20	209	221
8:30	200	142
8:40	211	184
8:50	294	274
9:00	255	229
9:10	328	319
9:20	399	454
9:30	522	623
9:40	648	421
9:50	477	479
10:00	468	461
10:10	450	386
10:20	450	425
10:30	456	456
10:40	459	415
10:50	450	491
11:00	450	492
11:10	481	524
11:20	454	521
11:30	459	429
11:40	468	432
11:50	456	433
12:00	468	495
12:10	459	495
12:20	374	512
12:30	356	403
12:40	256	194
12:50	262	250
13:00	282	471
13:10	269	289
13:20	280	316
13:30	280	371
13:40	293	316
13:50	246	260
14:00	268	317
14:10	230	211
14:20	248	214
14:30	231	421
14:40	227	341
14:50	259	226
15:00	221	229
15:10	214	243
15:20	248	231
15:30	249	282
15:40	220	335
15:50	234	294
16:00	236	263
16:10	246	224
16:20	230	201
16:30	240	235
16:40	252	258
16:50	235	317
17:00	227	213
17:10	195	198
17:20	176	244
17:30	239	216
17:40	227	238
17:50	321	520
18:00	332	372
18:10	346	398
18:20	571	529
18:30	787	743
18:40	794	734
18:50	783	737
19:00	895	1320
19:10	912	1138
19:20	971	1146
19:30	1014	1156
19:40	968	824
19:50	880	776
20:00	829	821
20:10	724	836
20:20	807	799
20:30	856	843
20:40	901	819
20:50	968	800
21:00	930	997
21:10	926	975
21:20	926	1022
21:30	800	648
21:40	936	966
21:50	932	959
22:00	866	893
22:10	3200	3785
22:20	903	792
22:30	838	760
22:40	741	697
23:00	948	946
23:10	938	971
23:20	941	975
23:30	800	648
23:40	1013	1010
23:50	1013	1135
