date	close	actual
4:50	200	314
5:00	200	302
5:10	200	176
5:20	200	196
5:30	30	25
5:40	42	53
5:50	46	57
6:00	28	28
6:10	25	37
6:20	25	28
6:30	40	39
6:40	31	42
6:50	29	70
7:00	31	76
7:10	29	66
7:20	33	45
7:30	24	37
7:40	28	37
7:50	30	39
8:00	38	53
8:10	31	43
8:20	31	39
8:30	21	40
8:40	27	42
8:50	39	43
9:00	53	49
9:10	61	48
9:20	73	75
9:30	74	218
9:40	96	106
9:50	102	117
10:00	146	138
10:10	118	111
10:20	141	294
10:30	124	284
10:40	120	187
10:50	114	122
11:00	120	117
11:10	113	108
11:20	118	280
11:30	114	253
11:40	128	205
11:50	100	130
12:00	115	121
12:10	101	113
12:20	115	266
12:30	113	197
12:40	118	183
12:50	113	122
13:00	117	133
13:10	114	135
13:20	117	212
13:30	113	175
13:40	121	179
13:50	101	188
14:00	81	136
14:10	60	114
14:20	38	131
14:30	56	111
14:40	49	104
14:50	44	88
15:00	58	59
15:10	43	82
15:20	56	69
15:30	45	57
15:40	58	71
15:50	48	46
16:00	46	85
16:10	55	67
16:20	51	86
16:30	50	42
16:40	54	62
16:50	48	54
17:00	58	57
17:10	43	82
17:20	48	64
17:30	45	56
17:40	51	51
17:50	44	57
18:00	54	59
18:10	50	69
18:20	51	57
18:30	49	50
18:40	49	53
18:50	48	51
19:00	53	75
19:10	65	74
19:20	89	93
19:30	95	109
19:40	106	118
19:50	116	117
20:00	144	202
20:10	134	196
20:20	131	169
20:30	208	248
20:40	200	244
20:50	216	223
21:00	200	156
21:10	238	238
21:20	252	280
21:30	242	214
21:40	221	181
21:50	197	227
22:00	200	259
22:10	219	269
22:20	229	248
22:30	212	206
22:40	199	180
22:50	219	210
23:00	227	231
23:10	270	260
23:20	276	253
23:30	331	358
23:40	366	410
23:50	372	442
