date	close	actual
5:10	113	141
5:20	85	105
5:30	42	46
5:40	967	985
5:50	53	52
6:00	45	54
6:10	25	43
6:20	31	38
6:30	48	55
6:40	57	59
6:50	62	65
7:00	39	64
7:10	46	67
7:20	55	70
7:30	55	69
7:40	44	68
7:50	43	61
8:00	28	42
8:10	20	25
8:20	30	40
8:30	30	43
8:40	20	62
8:50	20	42
9:00	27	40
9:10	40	78
9:20	41	63
9:30	59	93
9:40	75	92
9:50	79	105
10:00	94	130
10:10	93	140
10:20	105	146
10:30	89	122
10:40	89	1976
10:50	83	2327
11:00	87	2479
11:10	80	2902
11:20	86	106
11:30	79	98
11:40	83	126
11:50	81	98
12:00	82	101
12:10	73	97
12:20	73	97
12:30	79	88
12:40	86	109
12:50	87	95
13:00	74	85
13:10	66	79
13:20	49	59
13:30	54	67
13:40	57	73
13:50	63	74
14:00	47	78
14:10	42	60
14:20	37	60
14:30	40	68
14:40	40	59
14:50	37	69
15:00	25	39
15:10	17	40
15:20	15	39
15:30	15	44
15:40	17	35
15:50	22	43
16:00	17	34
16:10	14	35
16:20	16	47
16:30	18	51
16:40	19	46
16:50	16	40
17:00	13	33
17:10	21	42
17:20	21	60
17:30	18	46
17:40	14	52
17:50	15	109
18:00	20	82
18:10	18	97
18:20	19	50
18:30	18	51
18:40	22	49
18:50	30	52
19:00	44	49
19:10	53	71
19:20	63	102
19:30	65	106
19:40	62	88
19:50	55	69
20:00	51	56
20:10	52	82
20:20	61	95
20:30	61	87
20:40	57	85
20:50	52	65
21:00	52	59
21:10	66	65
21:20	67	78
21:30	65	83
21:40	59	77
21:50	52	60
22:00	50	58
22:10	62	73
22:20	49	60
22:30	34	43
22:40	32	44
22:50	45	66
23:00	57	72
23:10	78	98
23:20	87	110
23:30	91	137
23:40	88	110
23:50	102	135
