date	close	actual
4:40	512	657
4:50	529	685
5:00	394	365
5:10	395	421
5:20	345	464
5:30	179	204
5:40	143	153
5:50	134	143
6:00	130	128
6:10	160	189
6:20	189	171
6:30	107	127
6:40	113	163
6:50	93	188
7:00	58	125
7:10	51	98
7:20	63	77
7:30	65	79
7:40	59	75
7:50	57	82
8:00	55	64
8:10	43	70
8:20	45	77
8:30	43	68
8:40	47	73
8:50	55	74
9:00	48	69
9:10	49	62
9:20	44	65
9:30	52	67
9:40	48	67
9:50	56	86
10:00	79	98
10:10	94	157
10:20	106	152
10:30	104	1499
10:40	141	1512
10:50	144	2595
11:00	162	4996
11:10	141	5144
11:20	149	1266
11:30	138	207
11:40	138	196
11:50	132	187
12:00	145	216
12:10	134	183
12:20	129	143
12:30	142	181
12:40	135	191
12:50	135	190
13:00	141	191
13:10	148	197
13:20	131	219
13:30	125	183
13:40	99	124
13:50	92	128
14:00	72	137
14:10	82	141
14:20	48	95
14:30	52	185
14:40	56	237
14:50	63	235
15:00	63	313
15:10	86	157
15:20	73	126
15:30	120	148
15:40	95	129
15:50	79	124
16:00	67	96
16:10	69	105
16:20	101	145
16:30	83	123
16:40	84	109
16:50	61	121
17:00	83	125
17:10	76	117
17:20	78	131
17:30	66	123
17:40	83	141
17:50	61	104
18:00	55	110
18:10	58	82
18:20	72	133
18:30	75	121
18:40	76	134
18:50	73	97
19:00	101	147
19:10	81	106
19:20	86	91
19:30	96	119
19:40	98	149
19:50	95	126
20:00	95	132
20:10	102	139
20:20	135	138
20:30	142	141
20:40	153	182
20:50	155	194
21:00	150	198
21:10	156	243
21:20	172	236
21:30	200	172
21:40	211	195
21:50	225	232
22:00	221	236
22:10	225	275
22:20	219	254
22:30	209	205
22:40	195	217
22:50	158	222
23:00	153	217
23:10	180	192
23:20	205	215
23:30	212	205
23:40	214	193
23:50	211	190
