date	close	actual
5:00	104	355
5:10	88	136
5:20	80	88
5:30	72	79
5:40	78	81
5:50	116	96
6:00	108	74
6:10	42	42
6:20	32	34
6:30	16	27
6:40	15	24
6:50	17	27
7:00	21	30
7:10	21	40
7:20	19	33
7:30	19	34
7:40	20	34
7:50	19	28
8:00	16	27
8:10	17	29
8:20	17	30
8:30	18	33
8:40	19	31
8:50	19	33
9:00	33	45
9:10	39	70
9:20	63	107
9:30	74	110
9:40	71	111
9:50	70	84
10:00	67	112
10:10	72	118
10:20	78	103
10:30	76	98
10:40	80	123
10:50	76	119
11:00	70	133
11:10	67	118
11:20	67	120
11:30	73	116
11:40	74	86
11:50	82	102
12:00	85	133
12:10	86	149
12:20	88	124
12:30	87	129
12:40	83	162
12:50	88	162
13:00	96	131
13:10	94	153
13:20	100	107
13:30	103	115
13:40	94	100
13:50	80	136
14:00	73	159
14:10	67	176
14:20	59	85
14:30	64	89
14:40	65	78
14:50	68	60
15:00	51	81
15:10	40	53
15:20	40	71
15:30	41	80
15:40	49	88
15:50	48	100
16:00	46	96
16:10	43	81
16:20	36	61
16:30	36	81
16:40	36	76
16:50	34	57
17:00	34	66
17:10	38	55
17:20	46	68
17:30	39	77
17:40	39	96
17:50	38	101
18:00	34	71
18:10	29	45
18:20	32	50
18:30	35	47
18:40	38	63
18:50	38	67
19:00	55	114
19:10	73	149
19:20	89	123
19:30	90	113
19:40	89	76
19:50	83	112
20:00	83	154
20:10	98	177
20:20	167	191
20:30	174	187
20:40	133	183
20:50	113	118
21:00	118	120
21:10	124	136
21:20	121	186
21:30	113	154
21:40	113	104
21:50	131	168
22:00	140	188
22:10	145	162
22:20	164	138
22:30	173	167
22:40	171	181
22:50	120	195
23:00	178	310
23:10	200	294
23:20	200	170
23:30	200	152
23:40	200	233
23:50	200	238
