date	close	actual
5:20	25	15
5:30	27	34
5:40	28	32
5:50	43	48
6:00	54	61
6:10	46	70
6:20	41	45
6:30	40	48
6:40	34	42
6:50	41	48
7:00	39	51
7:10	29	40
7:20	26	48
7:30	25	40
7:40	27	36
7:50	26	39
8:00	21	27
8:10	22	31
8:20	19	39
8:30	20	40
8:40	20	42
8:50	22	39
9:00	31	40
9:10	42	47
9:20	57	72
9:30	70	81
9:40	84	103
9:50	91	92
10:00	93	111
10:10	89	125
10:20	82	138
10:30	80	92
10:40	76	93
10:50	76	86
11:00	72	81
11:10	73	106
11:20	73	90
11:30	77	98
11:40	78	115
11:50	84	92
12:00	84	95
12:10	83	123
12:20	88	111
12:30	92	126
12:40	93	150
12:50	89	123
13:00	95	152
13:10	95	119
13:20	115	109
13:30	110	152
13:40	101	144
13:50	93	155
14:00	84	124
14:10	77	127
14:20	83	114
14:30	80	124
14:40	76	95
14:50	80	73
15:00	89	104
15:10	75	100
15:20	75	93
15:30	81	96
15:40	70	119
15:50	93	138
16:00	81	107
16:10	64	98
16:20	63	85
16:30	51	70
16:40	41	61
16:50	43	62
17:00	50	81
17:10	40	73
17:20	38	55
17:30	43	64
17:40	36	45
17:50	34	46
18:00	33	47
18:10	37	52
18:20	30	50
18:30	24	51
18:40	28	53
18:50	30	41
19:00	39	50
19:10	42	55
19:20	54	89
19:30	56	75
19:40	60	72
19:50	64	72
20:00	67	79
20:10	73	79
20:20	72	68
20:30	72	73
20:40	72	102
20:50	63	110
21:00	48	91
21:10	49	99
21:20	61	118
21:30	70	110
21:40	78	68
21:50	79	76
22:00	78	121
22:10	77	136
22:20	78	81
22:30	77	74
22:40	77	84
22:50	74	99
23:00	72	94
23:10	72	101
23:20	58	65
23:30	61	95
23:40	77	80
23:50	72	74
