date	close	actual
4:40	243	302
4:50	250	275
5:00	187	192
5:10	193	214
5:20	234	215
5:30	236	214
5:40	44	55
5:50	55	83
6:00	32	40
6:10	43	39
6:20	71	85
6:30	46	54
6:40	45	44
6:50	37	52
7:00	23	44
7:10	19	34
7:20	29	51
7:30	37	52
7:40	40	45
7:50	57	95
8:00	33	61
8:10	33	46
8:20	38	62
8:30	58	80
8:40	45	62
8:50	53	63
9:00	82	78
9:10	92	81
9:20	104	118
9:30	119	136
9:40	125	137
9:50	77	93
10:00	120	123
10:10	131	144
10:20	121	145
10:30	144	167
10:40	125	159
10:50	125	149
11:00	117	99
11:10	119	115
11:20	120	141
11:30	166	229
11:40	131	149
11:50	128	107
12:00	104	100
12:10	113	122
12:20	120	149
12:30	143	188
12:40	156	201
12:50	165	238
13:00	121	177
13:10	156	213
13:20	171	244
13:30	121	155
13:40	151	168
13:50	171	188
14:00	55	67
14:10	70	125
14:20	108	165
14:30	96	120
14:40	70	106
14:50	75	84
15:00	60	77
15:10	64	179
15:20	47	202
15:30	32	449
15:40	18	33
15:50	23	46
16:00	22	51
16:10	24	62
16:20	28	51
16:30	22	38
16:40	24	48
16:50	30	58
17:00	33	147
17:10	30	99
17:20	27	76
17:30	27	89
17:40	26	94
17:50	34	103
18:00	29	114
18:10	28	73
18:20	25	51
18:30	31	74
18:40	36	64
18:50	43	78
19:00	39	78
19:10	46	56
19:20	77	96
19:30	91	104
19:40	107	123
19:50	124	132
20:00	133	156
20:10	163	200
20:20	300	324
20:30	292	284
20:40	253	285
20:50	253	275
21:00	252	240
21:10	343	368
21:20	333	372
21:30	301	287
21:40	302	285
21:50	200	176
22:00	308	300
22:10	258	298
22:20	345	358
22:30	306	328
22:40	200	202
22:50	303	306
23:00	302	302
23:10	300	318
23:20	307	286
23:30	200	143
23:40	200	182
23:50	248	248
