date	close	actual
5:00	37	32
5:10	35	34
5:20	40	53
5:30	40	61
5:40	47	78
5:50	53	66
6:00	54	52
6:10	35	43
6:20	42	53
6:30	46	58
6:40	41	62
6:50	30	59
7:00	18	32
7:10	17	33
7:20	26	45
7:30	32	76
7:40	29	51
7:50	28	47
8:00	28	45
8:10	34	69
8:20	30	57
8:30	32	61
8:40	27	45
8:50	23	41
9:00	25	44
9:10	22	40
9:20	29	41
9:30	35	67
9:40	45	87
9:50	59	83
10:00	82	98
10:10	87	93
10:20	91	110
10:30	95	165
10:40	99	153
10:50	117	154
11:00	110	137
11:10	89	114
11:20	87	131
11:30	89	133
11:40	88	135
11:50	98	569
12:00	101	2507
12:10	93	1737
12:20	98	1632
12:30	90	2216
12:40	93	2072
12:50	112	714
13:00	120	528
13:10	133	106
13:20	125	132
13:30	112	140
13:40	117	125
13:50	112	129
14:00	96	127
14:10	84	118
14:20	95	123
14:30	76	116
14:40	76	133
14:50	75	105
15:00	76	100
15:10	75	102
15:20	72	101
15:30	73	92
15:40	76	100
15:50	72	117
16:00	54	100
16:10	50	89
16:20	43	69
16:30	37	66
16:40	37	57
16:50	49	66
17:00	48	208
17:10	46	191
17:20	40	53
17:30	33	73
17:40	32	269
17:50	26	113
18:00	25	57
18:10	28	64
18:20	30	53
18:30	43	49
18:40	37	45
18:50	38	60
19:00	41	57
19:10	53	76
19:20	66	65
19:30	85	73
19:40	78	72
19:50	86	80
20:00	95	139
20:10	98	114
20:20	84	129
20:30	71	90
20:40	72	81
20:50	70	94
21:00	80	97
21:10	76	92
21:20	75	82
21:30	75	79
21:40	82	98
21:50	89	110
22:00	89	130
22:10	82	98
22:20	75	81
22:30	80	72
22:40	88	102
22:50	73	131
23:00	72	116
23:10	72	69
23:20	72	63
23:30	80	82
23:40	84	109
23:50	88	127
