date	close	actual
3:20	450	472
3:30	450	486
3:40	450	541
4:00	2731	3143
4:10	2220	2685
5:00	722	1163
5:10	116	83
5:20	105	113
5:30	123	185
5:40	146	220
5:50	132	189
6:00	69	79
6:10	69	79
6:20	48	102
6:30	27	151
6:40	22	138
6:50	23	61
7:00	24	49
7:10	27	44
7:20	27	41
7:30	23	41
7:40	29	57
7:50	28	51
8:00	28	46
8:10	25	49
8:20	30	58
8:30	32	60
8:40	52	62
8:50	59	56
9:00	79	85
9:10	84	100
9:20	90	123
9:30	101	112
9:40	126	154
9:50	129	127
10:00	146	163
10:10	138	188
10:20	135	154
10:30	133	68
10:40	151	153
10:50	180	188
11:00	154	243
11:10	131	201
11:20	136	140
11:30	131	114
11:40	143	202
11:50	144	192
12:00	155	148
12:10	158	239
12:20	161	212
12:30	162	141
12:40	167	162
12:50	157	155
13:00	161	163
13:10	155	151
13:20	158	182
13:30	161	176
13:40	115	168
13:50	89	105
14:00	84	98
14:10	69	72
14:20	70	83
14:30	85	107
14:40	87	125
14:50	59	93
15:00	49	67
15:10	40	47
15:20	43	50
15:30	30	47
15:40	50	106
15:50	50	77
16:00	62	78
16:10	53	214
16:20	57	231
16:30	53	54
16:40	57	73
16:50	49	79
17:00	51	82
17:10	48	73
17:20	52	81
17:30	52	70
17:40	55	60
17:50	45	64
18:00	54	75
18:10	56	64
18:20	75	77
18:30	84	88
18:40	95	80
18:50	89	96
19:00	92	105
19:10	69	93
19:20	64	101
19:30	134	201
19:40	184	217
19:50	200	183
20:00	204	192
20:10	199	219
20:20	200	237
20:30	204	222
20:40	181	222
20:50	204	220
21:00	196	216
21:10	194	220
21:20	200	228
21:30	200	226
21:40	199	235
21:50	224	256
22:00	224	254
22:10	272	255
22:20	267	233
22:30	200	172
22:40	199	175
22:50	199	224
23:00	198	252
23:10	200	204
23:20	200	182
23:30	225	197
23:40	214	190
23:50	195	213
