date	close	actual
5:10	313	288
5:40	359	531
5:50	362	384
6:00	228	216
6:10	163	150
6:20	188	191
6:30	276	295
6:40	249	283
6:50	361	277
7:00	374	333
7:10	391	553
7:20	335	489
7:30	262	302
7:40	200	162
7:50	230	287
8:00	248	319
8:10	210	229
8:20	189	267
8:30	178	309
8:40	197	199
8:50	190	205
9:00	227	223
9:10	276	305
9:20	236	220
9:30	220	281
9:40	312	487
9:50	458	595
10:00	486	748
10:10	531	599
10:20	535	503
10:30	568	412
10:40	479	604
10:50	581	608
11:00	581	663
11:10	496	530
11:20	467	606
11:30	459	654
11:40	484	578
11:50	513	503
12:00	514	525
12:10	485	534
12:20	459	564
12:30	459	582
12:40	490	486
12:50	533	382
13:00	528	357
13:10	370	237
13:20	258	255
13:30	227	275
13:40	243	293
13:50	260	325
14:00	259	332
14:10	299	296
14:20	328	285
14:30	303	254
14:40	269	298
14:50	273	298
15:00	218	258
15:10	236	302
15:20	218	217
15:30	234	219
15:40	207	244
15:50	184	324
16:00	196	415
16:10	200	327
16:20	237	249
16:30	229	255
16:40	185	176
16:50	195	203
17:00	255	318
17:10	280	313
17:20	279	300
17:30	267	344
17:40	166	208
17:50	218	333
18:00	277	395
18:10	293	379
18:20	366	504
18:30	263	192
18:40	425	255
18:50	467	373
19:00	426	402
19:10	797	1091
19:20	827	969
19:30	849	1060
19:40	745	1052
19:50	798	998
20:00	798	916
20:10	799	901
20:20	761	200
20:30	899	1178
20:40	901	1230
20:50	909	1256
21:00	613	1201
21:10	800	583
21:20	800	584
21:30	800	527
21:50	800	864
22:00	800	939
22:10	800	960
22:30	909	847
22:40	909	752
22:50	909	706
23:10	800	742
23:20	800	730
23:30	800	739
23:50	800	897
