date	close	actual
3:20	450	438
3:30	450	490
3:40	450	541
4:00	2103	2308
4:10	2217	2591
5:10	98	104
5:20	105	106
5:30	113	110
5:40	124	141
5:50	119	101
6:00	58	46
6:10	57	63
6:20	43	55
6:30	32	47
6:40	28	42
6:50	35	42
7:00	34	36
7:10	28	39
7:20	31	44
7:30	27	36
7:40	28	45
7:50	26	38
8:00	30	41
8:10	29	46
8:20	28	37
8:30	25	35
8:40	40	67
8:50	47	66
9:00	68	121
9:10	77	98
9:20	86	107
9:30	118	155
9:40	125	208
9:50	142	148
10:00	141	124
10:10	136	125
10:20	139	156
10:30	148	187
10:40	166	167
10:50	190	154
11:00	145	180
11:10	129	148
11:20	137	148
11:30	139	148
11:40	159	171
11:50	158	184
12:00	157	184
12:10	146	175
12:20	148	161
12:30	146	178
12:40	151	158
12:50	157	190
13:00	155	193
13:10	161	198
13:20	147	126
13:30	146	115
13:40	106	125
13:50	78	76
14:00	84	153
14:10	93	112
14:20	99	137
14:30	87	101
14:40	78	81
14:50	57	67
15:00	41	60
15:10	35	63
15:20	48	76
15:30	50	72
15:40	53	63
15:50	46	66
16:00	49	81
16:10	48	65
16:20	49	68
16:30	51	66
16:40	54	78
16:50	48	98
17:00	48	53
17:10	45	85
17:20	47	92
17:30	49	83
17:40	54	61
17:50	46	53
18:00	56	58
18:10	70	96
18:20	91	113
18:30	99	82
18:40	98	112
18:50	92	109
19:00	93	103
19:10	75	104
19:20	83	173
19:30	156	238
19:40	173	234
19:50	195	194
20:00	192	173
20:10	225	283
20:20	238	298
20:30	241	295
20:40	191	318
20:50	191	212
21:00	174	197
21:10	248	264
21:20	260	249
21:30	228	279
21:40	207	320
21:50	253	309
22:00	247	292
22:10	257	172
22:20	259	163
22:30	228	304
22:40	229	327
22:50	226	309
23:00	227	289
23:10	200	143
23:20	200	148
23:30	224	240
23:40	209	214
23:50	193	258
