date	close	actual
5:00	221	213
5:10	221	242
5:20	206	200
5:30	200	195
5:40	162	179
5:50	145	157
6:00	81	76
6:10	44	53
6:20	37	38
6:30	47	51
6:40	53	72
6:50	30	34
7:00	24	28
7:10	35	42
7:20	26	63
7:30	24	65
7:40	24	81
7:50	25	44
8:00	17	44
8:10	18	48
8:20	18	40
8:30	29	41
8:40	30	39
8:50	34	50
9:00	33	54
9:10	30	36
9:20	26	37
9:30	59	61
9:40	56	87
9:50	52	78
10:00	68	89
10:10	79	102
10:20	113	146
10:30	121	112
10:40	122	120
10:50	122	121
11:00	113	125
11:10	117	126
11:20	121	127
11:30	130	119
11:40	126	127
11:50	122	128
12:00	113	133
12:10	121	144
12:20	129	131
12:30	139	133
12:40	131	123
12:50	122	146
13:00	113	133
13:10	117	104
13:20	122	101
13:30	130	144
13:40	123	162
13:50	128	153
14:00	112	177
14:10	104	187
14:20	77	309
14:30	75	115
14:40	98	122
14:50	120	164
15:00	77	106
15:10	48	81
15:20	48	111
15:30	59	122
15:40	47	60
15:50	43	75
16:00	28	78
16:10	19	88
16:20	16	66
16:30	22	40
16:40	17	40
16:50	22	36
17:00	18	36
17:10	20	106
17:20	22	125
17:30	18	71
17:40	20	24
17:50	19	29
18:00	14	28
18:10	15	27
18:20	17	21
18:30	15	21
18:40	14	22
18:50	12	18
19:00	12	22
19:10	17	31
19:20	23	26
19:30	29	35
19:40	43	58
19:50	57	87
20:00	65	119
20:10	108	114
20:20	181	168
20:30	164	264
20:40	123	258
20:50	80	120
21:00	96	91
21:10	116	109
21:20	133	95
21:30	190	217
21:40	223	322
21:50	208	206
22:00	200	139
22:10	223	255
22:20	232	279
22:30	208	223
22:40	200	220
22:50	200	166
23:00	200	164
23:10	144	197
23:20	163	185
23:30	265	226
23:40	265	237
23:50	171	222
