date	close	actual
5:40	191	178
5:50	265	218
6:00	203	231
6:10	181	223
6:20	169	207
6:30	156	192
6:40	132	177
6:50	87	104
7:00	60	60
7:10	46	63
7:20	34	39
7:30	29	60
7:40	26	42
7:50	30	47
8:00	27	35
8:10	29	38
8:20	32	46
8:30	38	48
8:40	47	63
8:50	40	59
9:00	32	47
9:10	28	37
9:20	24	33
9:30	24	34
9:40	27	61
9:50	33	60
10:00	40	64
10:10	49	73
10:20	65	75
10:30	66	90
10:40	60	82
10:50	59	92
11:00	66	86
11:10	70	87
11:20	78	103
11:30	78	96
11:40	74	90
11:50	79	101
12:00	84	114
12:10	86	119
12:20	82	124
12:30	75	90
12:40	69	397
12:50	60	70
13:00	59	325
13:10	56	82
13:20	61	97
13:30	59	100
13:40	64	88
13:50	68	91
14:00	87	124
14:10	127	157
14:20	112	137
14:30	115	111
14:40	105	88
14:50	94	82
15:00	81	70
15:10	70	75
15:20	61	81
15:30	53	72
15:40	61	85
15:50	62	95
16:00	61	94
16:10	57	79
16:20	47	67
16:30	49	74
16:40	54	74
16:50	51	70
17:00	44	63
17:10	44	59
17:20	41	58
17:30	44	59
17:40	42	58
17:50	38	60
18:00	32	54
18:10	36	53
18:20	39	184
18:30	44	188
18:40	47	53
18:50	47	50
19:00	49	63
19:10	60	86
19:20	69	111
19:30	79	111
19:40	88	116
19:50	69	111
20:00	71	91
20:10	86	110
20:20	102	119
20:30	106	140
20:40	136	172
20:50	137	163
21:00	187	203
21:10	196	185
21:20	200	187
21:30	200	182
21:40	190	217
21:50	177	241
22:00	195	255
22:10	217	244
22:20	211	216
22:30	205	194
22:40	217	227
22:50	223	246
23:00	212	239
23:10	205	216
23:20	200	179
23:30	200	196
23:40	189	209
23:50	145	194
