date	close	actual
5:10	200	242
5:20	200	178
5:30	211	183
5:40	217	247
5:50	131	125
6:00	67	78
6:10	35	40
6:20	26	31
6:30	34	41
6:40	32	38
6:50	34	35
7:00	43	38
7:10	37	53
7:20	47	59
7:30	52	52
7:40	40	70
7:50	30	33
8:00	26	34
8:10	22	38
8:20	23	35
8:30	34	43
8:40	34	48
8:50	29	36
9:00	14	28
9:10	22	32
9:20	32	61
9:30	50	71
9:40	57	73
9:50	81	139
10:00	98	206
10:10	111	183
10:20	125	112
10:30	135	144
10:40	130	132
10:50	113	119
11:00	113	129
11:10	113	132
11:20	113	95
11:30	113	107
11:40	113	108
11:50	113	128
12:00	113	140
12:10	113	148
12:20	113	105
12:30	113	95
12:40	113	104
12:50	113	163
13:00	113	140
13:10	113	123
13:20	113	81
13:30	113	94
13:40	113	118
13:50	99	149
14:00	84	111
14:10	75	99
14:20	71	71
14:30	60	107
14:40	61	125
14:50	63	97
15:00	44	57
15:10	36	31
15:20	43	62
15:30	51	68
15:40	54	87
15:50	58	67
16:00	61	80
16:10	53	45
16:20	56	70
16:30	49	61
16:40	50	66
16:50	54	73
17:00	55	79
17:10	56	79
17:20	54	64
17:30	46	57
17:40	41	50
17:50	37	53
18:00	32	51
18:10	37	61
18:20	42	51
18:30	41	47
18:40	40	44
18:50	34	37
19:00	36	50
19:10	43	68
19:20	58	67
19:30	62	67
19:40	69	63
19:50	106	111
20:00	130	172
20:10	121	181
20:20	92	122
20:30	92	111
20:40	171	165
20:50	237	227
21:00	251	240
21:10	239	246
21:20	232	287
21:30	230	276
21:40	200	271
21:50	200	256
22:00	200	122
22:10	200	113
22:20	252	265
22:30	243	279
22:40	218	265
22:50	168	278
23:00	230	259
23:10	229	253
23:20	200	170
23:30	200	159
23:40	200	193
23:50	200	187
