date	close	actual
5:10	200	207
5:20	200	222
5:30	200	248
5:40	200	278
5:50	152	196
6:00	122	109
6:10	128	119
6:20	157	143
6:30	114	117
6:40	99	104
6:50	80	92
7:00	61	93
7:10	58	80
7:20	74	76
7:30	86	73
7:40	69	74
7:50	71	83
8:00	58	86
8:10	54	78
8:20	47	81
8:30	54	82
8:40	40	64
8:50	45	59
9:00	52	86
9:10	56	65
9:20	62	94
9:30	77	99
9:40	76	92
9:50	73	93
10:00	74	111
10:10	67	88
10:20	79	134
10:30	86	156
10:40	100	199
10:50	115	186
11:00	120	208
11:10	122	134
11:20	132	168
11:30	130	203
11:40	135	158
11:50	127	159
12:00	130	182
12:10	127	136
12:20	117	140
12:30	113	143
12:40	115	155
12:50	122	150
13:00	123	151
13:10	126	149
13:20	124	139
13:30	124	165
13:40	130	168
13:50	115	107
14:00	123	144
14:10	103	111
14:20	100	113
14:30	87	102
14:40	94	168
14:50	87	125
15:00	95	158
15:10	93	139
15:20	88	164
15:30	104	163
15:40	73	69
15:50	61	120
16:00	56	83
16:10	69	63
16:20	41	64
16:30	38	60
16:40	41	76
16:50	49	63
17:00	46	68
17:10	45	80
17:20	44	75
17:30	49	93
17:40	42	75
17:50	45	56
18:00	42	56
18:10	43	63
18:20	38	54
18:30	31	49
18:40	34	53
18:50	36	62
19:00	34	53
19:10	38	65
19:20	36	66
19:30	37	52
19:40	41	65
19:50	60	84
20:00	48	73
20:10	70	138
20:20	79	87
20:30	96	110
20:40	100	143
20:50	88	109
21:00	84	125
21:10	85	122
21:20	88	106
21:30	98	102
21:40	96	104
21:50	91	97
22:00	93	120
22:10	94	127
22:20	85	118
22:30	74	97
22:40	93	101
22:50	99	115
23:00	100	103
23:10	94	139
23:20	83	102
23:30	75	119
23:40	87	96
23:50	91	99
4:30	200	266
4:40	200	253
4:50	200	211
5:00	200	225
5:10	172	237
5:20	128	111
5:30	127	111
