date	close	actual
3:20	450	438
3:30	414	500
3:40	424	455
4:00	2393	2225
4:10	1335	1514
4:50	722	653
5:00	722	926
5:10	109	131
5:20	108	97
5:30	123	104
5:40	154	198
5:50	97	110
6:00	60	41
6:10	60	65
6:20	37	57
6:30	15	21
6:40	17	33
6:50	30	45
7:00	33	43
7:10	25	36
7:20	22	25
7:30	26	33
7:40	28	37
7:50	30	38
8:00	29	40
8:10	29	45
8:20	30	32
8:30	28	36
8:40	38	58
8:50	51	72
9:00	69	73
9:10	74	68
9:20	81	80
9:30	116	119
9:40	142	134
9:50	196	213
10:00	151	206
10:10	134	180
10:20	148	135
10:30	143	120
10:40	142	163
10:50	133	142
11:00	143	111
11:10	138	190
11:20	145	189
11:30	145	180
11:40	165	164
11:50	163	195
12:00	182	200
12:10	177	185
12:20	179	177
12:30	157	210
12:40	162	203
12:50	146	129
13:00	148	124
13:10	152	205
13:20	160	213
13:30	149	273
13:40	114	155
13:50	102	119
14:00	91	136
14:10	88	118
14:20	98	116
14:30	92	104
14:40	85	95
14:50	80	60
15:00	51	57
15:10	47	54
15:20	38	61
15:30	45	52
15:40	54	56
15:50	56	77
16:00	55	69
16:10	56	73
16:20	55	85
16:30	61	97
16:40	57	84
16:50	54	60
17:00	56	66
17:10	57	68
17:20	58	48
17:30	48	54
17:40	51	69
17:50	55	74
18:00	58	70
18:10	52	68
18:20	49	69
18:30	51	57
18:40	88	88
18:50	92	67
19:00	80	95
19:10	73	104
19:20	91	136
19:30	161	128
19:40	177	138
19:50	201	190
20:00	200	252
20:10	197	225
20:20	183	147
20:30	211	298
20:40	177	307
20:50	198	248
21:00	200	220
21:10	186	192
21:20	204	195
21:30	226	276
21:40	225	235
21:50	200	202
22:00	200	202
22:10	221	283
22:20	229	301
22:30	205	183
22:40	187	141
22:50	214	254
23:00	223	288
23:10	195	195
23:20	191	199
23:30	200	159
23:40	192	126
23:50	195	215
