date	close	actual
5:40	365	466
5:50	397	394
6:00	252	275
6:10	178	246
6:20	178	239
6:30	239	208
6:40	222	202
6:50	324	262
7:00	358	396
7:10	435	613
7:20	402	665
7:30	287	391
7:40	200	249
7:50	223	271
8:00	243	310
8:10	221	246
8:20	192	178
8:30	141	249
8:40	172	166
8:50	205	174
9:00	207	155
9:10	200	235
9:20	200	265
9:30	238	332
9:40	313	424
9:50	464	462
10:00	489	499
10:10	478	482
10:20	464	517
10:30	495	515
10:40	459	585
10:50	566	654
11:00	582	671
11:10	496	578
11:20	450	569
11:30	476	573
11:40	461	476
11:50	438	376
12:00	455	401
12:10	446	487
12:20	410	496
12:30	450	540
12:40	450	413
12:50	447	365
13:00	460	411
13:10	343	329
13:20	233	334
13:30	212	253
13:40	203	286
13:50	233	297
14:00	226	290
14:10	300	453
14:20	340	445
14:30	301	315
14:40	246	277
14:50	249	284
15:00	213	275
15:10	214	349
15:20	234	349
15:30	228	246
15:40	224	223
15:50	216	283
16:00	230	410
16:10	255	343
16:20	267	293
16:30	275	278
16:40	206	250
16:50	214	241
17:00	243	285
17:10	246	262
17:20	256	281
17:30	235	255
17:40	199	227
17:50	214	193
18:00	227	204
18:10	233	200
18:20	286	498
18:30	308	707
18:40	416	492
18:50	447	410
19:00	427	207
19:10	736	906
19:20	748	910
19:30	760	964
19:40	755	946
19:50	792	915
20:00	788	821
20:10	800	789
20:20	800	973
20:30	800	816
20:40	800	762
20:50	800	783
21:00	800	685
21:10	800	839
21:20	800	899
21:30	800	940
21:40	800	724
21:50	800	777
22:00	800	763
22:10	800	738
22:20	800	884
22:30	800	800
22:40	800	814
22:50	800	829
23:00	800	801
23:10	800	847
23:20	800	819
23:30	800	770
23:40	800	672
23:50	800	641
