date	close	actual
5:20	613	670
5:30	613	724
5:40	613	709
6:00	113	96
6:10	166	176
6:20	189	225
6:30	152	166
6:40	171	211
6:50	19	44
7:00	47	82
7:10	14	21
7:20	72	98
7:30	10	40
7:40	33	69
7:50	42	96
8:00	81	121
8:10	179	219
8:20	117	223
8:30	160	155
8:40	177	162
8:50	200	136
9:00	200	197
9:10	200	280
9:20	199	239
9:30	381	458
9:40	369	467
9:50	450	555
10:00	502	481
10:10	595	515
10:20	685	576
10:30	450	458
10:40	450	509
10:50	450	507
11:00	450	591
11:10	450	571
11:20	450	587
11:30	450	437
11:40	450	465
11:50	450	473
12:00	493	623
12:10	514	558
12:20	514	545
12:30	472	423
12:40	450	517
12:50	450	583
13:00	432	439
13:10	413	404
13:20	278	302
13:30	314	336
13:40	219	250
13:50	223	273
14:00	295	435
14:10	340	441
14:20	443	685
14:30	331	475
14:40	265	216
14:50	277	243
15:00	283	278
15:10	251	348
15:20	264	361
15:30	343	365
15:40	375	369
15:50	278	307
16:00	293	273
16:10	125	150
16:20	237	229
16:30	116	120
16:40	63	99
16:50	147	150
17:00	148	209
17:10	102	183
17:20	116	139
17:30	194	304
17:40	174	240
17:50	135	199
18:00	170	245
18:10	138	165
18:20	206	216
18:30	226	204
18:40	218	201
18:50	65	71
19:00	253	232
19:10	404	261
19:20	93	82
19:30	79	124
19:40	342	299
19:50	476	489
20:00	800	1117
20:10	211	452
20:20	359	452
20:30	580	898
20:40	882	2121
20:50	44	126
21:00	437	396
21:10	613	506
21:20	209	267
21:30	181	185
21:40	394	470
21:50	517	680
22:00	800	569
22:10	800	704
22:20	800	664
22:30	800	669
22:40	800	639
22:50	800	917
23:00	741	970
23:10	685	989
23:20	613	993
23:30	934	815
23:40	934	757
23:50	1034	853
