date	close	actual
5:10	128	167
5:20	100	115
5:30	65	70
5:40	53	71
5:50	43	54
6:00	44	60
6:10	31	47
6:20	40	44
6:30	69	93
6:40	106	154
6:50	110	138
7:00	48	80
7:10	52	70
7:20	48	61
7:30	43	58
7:40	43	119
7:50	47	87
8:00	54	90
8:10	38	61
8:20	28	105
8:30	31	88
8:40	25	82
8:50	27	92
9:00	42	98
9:10	52	79
9:20	70	86
9:30	101	145
9:40	104	164
9:50	99	154
10:00	113	122
10:10	107	144
10:20	102	119
10:30	109	126
10:40	114	133
10:50	104	124
11:00	95	93
11:10	92	117
11:20	85	131
11:30	87	126
11:40	98	132
11:50	116	132
12:00	106	113
12:10	93	134
12:20	69	109
12:30	98	147
12:40	108	147
12:50	136	172
13:00	115	113
13:10	73	73
13:20	78	94
13:30	81	88
13:40	77	103
13:50	93	142
14:00	71	148
14:10	63	99
14:20	47	85
14:30	47	95
14:40	54	81
14:50	44	85
15:00	26	46
15:10	18	93
15:20	26	67
15:30	23	49
15:40	23	60
15:50	15	93
16:00	15	150
16:10	25	193
16:20	26	137
16:30	21	96
16:40	21	105
16:50	24	204
17:00	24	284
17:10	20	187
17:20	18	154
17:30	21	170
17:40	28	197
17:50	26	134
18:00	25	140
18:10	21	151
18:20	19	145
18:30	34	156
18:40	24	74
18:50	33	82
19:00	72	166
19:10	76	167
19:20	107	157
19:30	88	109
19:40	90	130
19:50	67	106
20:00	57	106
20:10	61	71
20:20	67	94
20:30	71	98
20:40	70	77
20:50	66	78
21:00	66	85
21:10	62	91
21:20	58	84
21:30	59	63
21:40	57	50
21:50	72	101
22:00	79	106
22:10	75	106
22:20	48	68
22:30	40	50
22:40	38	56
22:50	60	65
23:00	62	85
23:10	78	112
23:20	90	106
23:30	95	115
23:40	123	128
23:50	132	148
