date	close	actual
4:50	165	161
5:00	162	148
5:10	50	40
5:20	62	64
5:30	37	57
5:40	28	35
5:50	32	41
6:00	53	52
6:10	33	62
6:20	44	67
6:30	25	42
6:40	20	30
6:50	32	37
7:00	55	51
7:10	43	36
7:20	42	55
7:30	32	51
7:40	38	61
7:50	29	45
8:00	40	66
8:10	41	66
8:20	37	61
8:30	35	49
8:40	35	58
8:50	40	59
9:00	37	53
9:10	36	57
9:20	49	74
9:30	35	45
9:40	49	76
9:50	62	76
10:00	79	70
10:10	75	56
10:20	124	107
10:30	92	94
10:40	83	95
10:50	79	80
11:00	83	120
11:10	81	119
11:20	80	78
11:30	83	83
11:40	93	112
11:50	91	117
12:00	108	135
12:10	99	117
12:20	94	127
12:30	89	135
12:40	88	118
12:50	91	131
13:00	99	122
13:10	93	85
13:20	89	80
13:30	88	135
13:40	97	175
13:50	122	197
14:00	96	133
14:10	58	32
14:20	29	36
14:30	42	74
14:40	48	72
14:50	87	102
15:00	54	50
15:10	60	75
15:20	51	76
15:30	53	56
15:40	50	55
15:50	54	57
16:00	54	65
16:10	73	78
16:20	66	65
16:30	60	65
16:40	55	53
16:50	51	51
17:00	48	59
17:10	52	80
17:20	55	70
17:30	55	56
17:40	52	74
17:50	42	65
18:00	34	38
18:10	33	33
18:20	39	52
18:30	48	46
18:40	48	40
18:50	49	51
19:00	47	68
19:10	32	70
19:20	34	49
19:30	47	43
19:40	63	69
19:50	97	178
20:00	38	80
20:10	26	41
20:20	116	150
20:30	170	164
20:40	160	147
20:50	160	222
21:00	142	168
21:10	16	34
21:20	263	274
21:30	375	427
21:40	61	77
21:50	216	204
22:00	283	261
22:10	56	83
22:20	210	218
22:30	284	303
22:40	109	115
22:50	174	175
23:00	213	236
23:10	133	133
23:20	227	235
23:30	200	145
23:40	125	144
23:50	276	334
