date	close	actual
3:20	450	344
3:30	450	488
3:40	450	481
4:00	1985	2383
4:10	2013	2399
5:10	114	90
5:20	113	91
5:30	113	100
5:40	134	182
5:50	127	149
6:00	62	80
6:10	58	71
6:20	50	65
6:30	30	41
6:40	33	48
6:50	43	39
7:00	34	33
7:10	25	31
7:20	23	34
7:30	29	40
7:40	31	38
7:50	31	45
8:00	26	36
8:10	24	33
8:20	28	38
8:30	26	37
8:40	44	52
8:50	46	47
9:00	63	102
9:10	67	111
9:20	71	98
9:30	92	102
9:40	95	155
9:50	150	203
10:00	166	159
10:10	151	158
10:20	128	124
10:30	128	108
10:40	142	169
10:50	193	197
11:00	145	158
11:10	137	140
11:20	142	150
11:30	139	182
11:40	145	172
11:50	137	157
12:00	145	131
12:10	145	196
12:20	145	199
12:30	145	145
12:40	154	171
12:50	153	225
13:00	145	185
13:10	145	229
13:20	152	119
13:30	148	113
13:40	104	128
13:50	81	79
14:00	62	95
14:10	68	88
14:20	69	122
14:30	68	65
14:40	67	61
14:50	52	75
15:00	32	84
15:10	30	89
15:20	39	56
15:30	45	44
15:40	57	85
15:50	53	95
16:00	48	85
16:10	47	62
16:20	46	64
16:30	57	84
16:40	59	113
16:50	62	162
17:00	51	101
17:10	46	93
17:20	46	52
17:30	48	58
17:40	50	62
17:50	48	81
18:00	51	72
18:10	59	86
18:20	72	84
18:30	93	85
18:40	106	127
18:50	92	130
19:00	85	78
19:10	75	75
19:20	58	107
19:30	166	248
19:40	222	325
19:50	238	253
20:00	222	227
20:10	201	175
20:20	200	135
20:30	242	401
20:40	210	470
20:50	186	243
21:00	181	177
21:10	200	132
21:20	200	155
21:30	200	366
21:40	200	400
21:50	226	253
22:00	228	261
22:10	200	186
22:20	200	173
22:30	200	240
22:40	200	256
22:50	200	192
23:00	200	221
23:10	200	201
23:20	200	188
23:30	200	195
23:40	186	183
23:50	190	231
