date	close	actual
5:00	61	81
5:10	61	56
5:20	67	51
5:30	66	92
5:40	76	109
5:50	119	126
6:00	118	84
6:10	57	61
6:20	35	41
6:30	22	38
6:40	18	32
6:50	23	34
7:00	23	43
7:10	25	41
7:20	26	37
7:30	23	35
7:40	22	36
7:50	21	33
8:00	20	32
8:10	20	35
8:20	23	39
8:30	24	37
8:40	27	43
8:50	32	51
9:00	38	51
9:10	42	57
9:20	60	77
9:30	80	100
9:40	82	98
9:50	89	115
10:00	84	125
10:10	82	117
10:20	75	129
10:30	81	116
10:40	78	128
10:50	76	132
11:00	87	103
11:10	93	117
11:20	101	173
11:30	85	117
11:40	80	122
11:50	75	119
12:00	78	93
12:10	85	105
12:20	86	107
12:30	97	150
12:40	89	118
12:50	88	113
13:00	87	105
13:10	89	121
13:20	84	132
13:30	85	125
13:40	104	183
13:50	78	92
14:00	56	80
14:10	46	69
14:20	25	54
14:30	25	47
14:40	29	57
14:50	37	73
15:00	41	108
15:10	44	116
15:20	41	108
15:30	41	86
15:40	41	70
15:50	42	83
16:00	48	104
16:10	45	96
16:20	46	68
16:30	39	83
16:40	45	64
16:50	39	67
17:00	36	68
17:10	34	62
17:20	35	71
17:30	33	72
17:40	33	75
17:50	31	69
18:00	38	74
18:10	38	50
18:20	37	48
18:30	36	54
18:40	38	56
18:50	38	63
19:00	54	77
19:10	75	100
19:20	100	106
19:30	103	110
19:40	97	88
19:50	88	101
20:00	90	133
20:10	104	146
20:20	118	144
20:30	117	131
20:40	125	139
20:50	127	149
21:00	115	128
21:10	114	129
21:20	130	149
21:30	140	187
21:40	133	150
21:50	142	138
22:00	154	155
22:10	169	173
22:20	161	164
22:30	156	145
22:40	158	169
22:50	133	199
23:00	201	243
23:10	222	201
23:20	228	227
23:30	229	256
23:40	228	272
23:50	234	268
