date	close	actual
5:30	113	82
5:40	132	117
5:50	180	178
6:00	113	148
6:10	113	110
6:20	113	94
6:30	82	112
6:40	62	85
6:50	36	36
7:00	21	39
7:10	18	38
7:20	18	34
7:30	21	35
7:40	22	38
7:50	27	47
8:00	25	63
8:10	27	62
8:20	22	50
8:30	24	43
8:40	25	40
8:50	54	113
9:00	69	112
9:10	83	109
9:20	79	98
9:30	84	91
9:40	94	70
9:50	124	129
10:00	118	153
10:10	111	156
10:20	119	133
10:30	123	156
10:40	131	146
10:50	140	182
11:00	142	163
11:10	138	173
11:20	133	149
11:30	141	143
11:40	133	152
11:50	144	239
12:00	139	159
12:10	139	153
12:20	139	169
12:30	147	168
12:40	151	176
12:50	148	158
13:00	146	163
13:10	150	169
13:20	154	173
13:30	158	198
13:40	159	223
13:50	147	245
14:00	101	158
14:10	62	111
14:20	40	86
14:30	63	111
14:40	75	102
14:50	90	127
15:00	74	349
15:10	66	322
15:20	43	188
15:30	36	76
15:40	39	90
15:50	60	132
16:00	55	139
16:10	49	81
16:20	50	55
16:30	48	75
16:40	46	64
16:50	51	57
17:00	57	68
17:10	62	60
17:20	55	97
17:30	56	72
17:40	48	67
17:50	44	62
18:00	43	51
18:10	56	58
18:20	57	83
18:30	68	84
18:40	67	79
18:50	77	60
19:00	164	155
19:10	178	157
19:20	229	211
19:30	227	238
19:40	212	338
19:50	208	245
20:00	216	195
20:10	218	200
20:20	211	241
20:30	208	230
20:40	183	228
20:50	161	211
21:00	188	196
21:10	231	237
21:20	211	222
21:30	197	204
21:40	198	213
21:50	199	235
22:00	217	215
22:10	226	169
22:20	212	199
22:30	200	249
22:40	200	224
22:50	200	186
23:00	217	196
23:10	227	242
23:20	212	256
23:30	200	250
23:40	199	208
23:50	129	164
