date	close	actual
5:00	248	227
5:10	247	251
5:20	216	427
5:30	200	220
5:40	185	247
5:50	178	250
6:00	98	110
6:10	53	63
6:20	44	45
6:30	57	63
6:40	63	70
6:50	34	46
7:00	20	31
7:10	30	38
7:20	23	36
7:30	22	28
7:40	21	31
7:50	20	29
8:00	19	30
8:10	20	34
8:20	20	23
8:30	20	30
8:40	24	27
8:50	28	59
9:00	29	61
9:10	33	65
9:20	26	54
9:30	59	85
9:40	50	67
9:50	46	66
10:00	64	73
10:10	77	96
10:20	113	149
10:30	113	125
10:40	113	108
10:50	113	113
11:00	113	126
11:10	113	115
11:20	113	119
11:30	113	127
11:40	113	122
11:50	113	115
12:00	113	125
12:10	117	119
12:20	120	117
12:30	120	130
12:40	116	128
12:50	113	118
13:00	113	121
13:10	116	112
13:20	120	114
13:30	119	144
13:40	117	146
13:50	116	157
14:00	120	143
14:10	104	84
14:20	71	78
14:30	65	88
14:40	73	101
14:50	99	129
15:00	80	112
15:10	50	64
15:20	39	57
15:30	45	66
15:40	43	64
15:50	43	61
16:00	30	41
16:10	18	25
16:20	17	23
16:30	17	28
16:40	17	37
16:50	17	30
17:00	17	38
17:10	16	23
17:20	15	20
17:30	17	26
17:40	15	22
17:50	15	36
18:00	12	27
18:10	13	23
18:20	16	20
18:30	15	19
18:40	15	22
18:50	13	28
19:00	11	26
19:10	17	30
19:20	22	31
19:30	30	32
19:40	40	49
19:50	64	113
20:00	79	152
20:10	98	96
20:20	177	165
20:30	158	202
20:40	116	171
20:50	78	78
21:00	90	87
21:10	105	137
21:20	116	181
21:30	186	211
21:40	227	239
21:50	207	203
22:00	200	199
22:10	200	199
22:20	227	206
22:30	228	230
22:40	228	249
22:50	207	198
23:00	200	239
23:10	169	202
23:20	189	202
23:30	262	275
23:40	254	276
23:50	110	135
