date	close	actual
5:10	72	75
5:20	72	78
5:30	72	99
5:40	72	93
5:50	85	69
6:00	79	70
6:10	97	119
6:20	122	137
6:30	80	76
6:40	59	68
6:50	66	82
7:00	63	68
7:10	63	108
7:20	90	156
7:30	80	151
7:40	70	119
7:50	43	102
8:00	39	79
8:10	43	66
8:20	40	66
8:30	50	78
8:40	54	61
8:50	43	75
9:00	25	62
9:10	22	53
9:20	11	45
9:30	29	84
9:40	47	111
9:50	29	60
10:00	34	67
10:10	23	59
10:20	39	74
10:30	47	51
10:40	54	69
10:50	70	102
11:00	69	100
11:10	68	142
11:20	69	144
11:30	74	113
11:40	84	133
11:50	89	87
12:00	84	102
12:10	84	111
12:20	88	189
12:30	87	189
12:40	85	176
12:50	87	179
13:00	70	92
13:10	81	98
13:20	82	118
13:30	87	125
13:40	87	137
13:50	74	104
14:00	69	82
14:10	58	83
14:20	52	96
14:30	52	73
14:40	47	86
14:50	43	97
15:00	50	102
15:10	46	76
15:20	48	81
15:30	54	103
15:40	58	98
15:50	59	83
16:00	60	74
16:10	57	76
16:20	50	79
16:30	41	76
16:40	57	78
16:50	46	67
17:00	43	72
17:10	44	69
17:20	48	91
17:30	54	84
17:40	46	77
17:50	47	74
18:00	46	63
18:10	52	66
18:20	48	59
18:30	26	61
18:40	27	84
18:50	36	82
19:00	26	91
19:10	14	33
19:20	12	23
19:30	21	28
19:40	27	38
19:50	24	41
20:00	17	29
20:10	12	38
20:20	28	85
20:30	43	88
20:40	40	76
20:50	41	73
21:00	65	97
21:10	47	81
21:20	50	76
21:30	75	94
21:40	82	100
21:50	82	109
22:00	86	104
22:10	86	95
22:20	85	89
22:30	87	100
22:40	93	120
22:50	83	132
23:00	77	97
23:10	83	86
23:20	86	94
23:30	51	72
23:40	44	52
23:50	74	70
