date	close	actual
5:20	641	661
5:30	641	684
5:40	643	672
6:00	136	200
6:10	170	164
6:20	191	159
6:30	147	130
6:40	168	148
6:50	17	30
7:00	47	46
7:10	17	21
7:20	74	94
7:30	19	73
7:40	38	46
7:50	55	45
8:00	83	113
8:10	182	237
8:20	142	219
8:30	172	171
8:40	184	201
8:50	200	221
9:00	200	304
9:10	142	188
9:20	141	186
9:30	369	430
9:40	345	416
9:50	450	690
10:00	502	493
10:10	595	436
10:20	685	539
10:30	450	480
10:40	450	492
10:50	450	518
11:00	532	553
11:10	573	673
11:20	573	732
11:30	495	610
11:40	450	521
11:50	450	515
12:00	494	524
12:10	511	509
12:20	511	539
12:30	471	569
12:40	450	589
12:50	450	576
13:00	420	394
13:10	381	335
13:20	282	243
13:30	313	244
13:40	237	288
13:50	258	304
14:00	335	401
14:10	377	410
14:20	501	402
14:30	337	255
14:40	200	130
14:50	240	343
15:00	252	304
15:10	220	308
15:20	219	351
15:30	220	243
15:40	239	235
15:50	214	246
16:00	211	225
16:10	114	171
16:20	167	212
16:30	149	160
16:40	70	107
16:50	154	120
17:00	131	129
17:10	108	182
17:20	107	116
17:30	118	369
17:40	91	172
17:50	96	144
18:00	109	150
18:10	96	118
18:20	157	197
18:30	196	227
18:40	183	157
18:50	50	90
19:00	220	239
19:10	338	208
19:20	50	34
19:30	92	161
19:40	336	248
19:50	484	605
20:00	800	794
20:10	118	324
20:20	239	281
20:30	366	498
20:40	882	2048
20:50	44	190
21:00	341	159
21:10	613	55
21:20	77	84
21:30	97	118
21:40	347	406
21:50	482	652
22:00	800	1109
22:10	800	811
22:20	800	790
22:30	800	809
22:40	800	780
22:50	800	827
23:00	741	831
23:10	685	815
23:20	613	827
23:30	800	701
23:40	800	714
23:50	800	736
