date	close	actual
5:40	216	200
5:50	294	227
6:00	215	195
6:10	197	207
6:20	177	207
6:30	180	225
6:40	154	217
6:50	106	141
7:00	75	98
7:10	50	75
7:20	40	51
7:30	30	48
7:40	29	43
7:50	29	39
8:00	32	44
8:10	35	61
8:20	40	61
8:30	45	69
8:40	51	77
8:50	49	68
9:00	44	52
9:10	33	38
9:20	34	46
9:30	38	53
9:40	53	81
9:50	84	105
10:00	74	85
10:10	68	92
10:20	72	76
10:30	74	89
10:40	66	85
10:50	64	80
11:00	69	92
11:10	78	92
11:20	88	106
11:30	88	130
11:40	98	133
11:50	120	144
12:00	129	147
12:10	124	150
12:20	118	148
12:30	93	119
12:40	79	112
12:50	68	91
13:00	68	83
13:10	65	76
13:20	60	92
13:30	65	82
13:40	62	82
13:50	69	91
14:00	117	136
14:10	132	121
14:20	123	148
14:30	107	117
14:40	107	126
14:50	91	113
15:00	91	107
15:10	79	85
15:20	77	99
15:30	72	87
15:40	91	98
15:50	71	87
16:00	85	121
16:10	80	110
16:20	87	104
16:30	80	103
16:40	79	115
16:50	60	92
17:00	54	94
17:10	42	84
17:20	45	88
17:30	48	98
17:40	53	97
17:50	57	90
18:00	53	77
18:10	57	79
18:20	59	81
18:30	61	75
18:40	65	69
18:50	75	80
19:00	82	90
19:10	73	89
19:20	84	197
19:30	83	93
19:40	81	88
19:50	75	108
20:00	73	99
20:10	92	135
20:20	108	132
20:30	115	148
20:40	154	186
20:50	161	189
21:00	187	184
21:10	187	184
21:20	208	229
21:30	213	232
21:40	213	222
21:50	189	217
22:00	187	216
22:10	193	193
22:20	195	202
22:30	193	222
22:40	211	233
22:50	218	239
23:00	256	275
23:10	265	286
23:20	236	243
23:30	210	186
23:40	185	182
23:50	143	191
