date	close	actual
5:20	200	186
5:30	199	192
5:40	242	239
5:50	202	255
6:00	125	162
6:10	55	68
6:20	40	68
6:30	39	54
6:40	37	43
6:50	40	56
7:00	45	54
7:10	39	48
7:20	40	741
7:30	43	789
7:40	43	56
7:50	41	63
8:00	51	89
8:10	52	102
8:20	37	54
8:30	33	50
8:40	39	70
8:50	45	74
9:00	57	100
9:10	89	106
9:20	100	89
9:30	111	137
9:40	104	166
9:50	101	151
10:00	101	123
10:10	114	119
10:20	115	151
10:30	115	134
10:40	105	132
10:50	105	125
11:00	100	114
11:10	102	441
11:20	110	132
11:30	110	371
11:40	108	144
11:50	105	2507
12:00	114	1626
12:10	116	825
12:20	113	4295
12:30	123	2426
12:40	130	1643
12:50	142	2155
13:00	130	126
13:10	122	143
13:20	114	158
13:30	137	694
13:40	129	397
13:50	117	155
14:00	76	115
14:10	112	100
14:20	105	145
14:30	75	82
14:40	71	94
14:50	102	132
15:00	117	148
15:10	118	147
15:20	113	152
15:30	77	92
15:40	81	114
15:50	102	144
16:00	93	154
16:10	60	96
16:20	60	85
16:30	53	70
16:40	52	107
16:50	49	82
17:00	47	80
17:10	46	89
17:20	49	159
17:30	56	106
17:40	58	116
17:50	60	84
18:00	63	97
18:10	64	114
18:20	59	121
18:30	68	84
18:40	75	104
18:50	84	118
19:00	113	186
19:10	131	171
19:20	153	170
19:30	148	115
19:40	131	128
19:50	140	152
20:00	128	169
20:10	189	265
20:20	179	232
20:30	181	179
20:40	157	165
20:50	152	171
21:00	180	211
21:10	173	217
21:20	157	164
21:30	213	194
21:40	234	210
21:50	173	203
22:00	167	188
22:10	147	155
22:20	157	154
22:30	161	153
22:40	200	311
22:50	190	307
23:00	195	182
23:10	195	167
23:20	200	168
23:30	203	210
23:40	229	263
23:50	235	237
