date	close	actual
4:40	512	685
4:50	512	710
5:00	396	473
5:10	395	432
5:20	340	389
5:30	171	170
5:40	143	146
5:50	136	156
6:00	139	178
6:10	167	181
6:20	197	179
6:30	91	127
6:40	103	149
6:50	87	161
7:00	58	116
7:10	53	137
7:20	71	106
7:30	68	90
7:40	62	91
7:50	62	92
8:00	65	109
8:10	47	64
8:20	46	80
8:30	44	67
8:40	42	70
8:50	48	63
9:00	43	63
9:10	43	65
9:20	41	51
9:30	51	84
9:40	56	80
9:50	65	111
10:00	76	95
10:10	85	114
10:20	108	96
10:30	103	112
10:40	126	146
10:50	140	172
11:00	162	182
11:10	151	129
11:20	152	190
11:30	143	163
11:40	139	187
11:50	145	165
12:00	140	161
12:10	151	165
12:20	134	152
12:30	164	231
12:40	134	142
12:50	142	186
13:00	146	178
13:10	153	199
13:20	142	199
13:30	123	159
13:40	100	109
13:50	88	109
14:00	67	87
14:10	61	77
14:20	42	71
14:30	43	105
14:40	44	135
14:50	53	146
15:00	50	213
15:10	62	97
15:20	61	104
15:30	77	113
15:40	75	134
15:50	61	91
16:00	58	73
16:10	57	84
16:20	63	95
16:30	66	84
16:40	61	72
16:50	57	98
17:00	58	77
17:10	58	92
17:20	58	98
17:30	60	92
17:40	58	91
17:50	72	123
18:00	60	76
18:10	59	68
18:20	58	64
18:30	53	88
18:40	66	76
18:50	62	75
19:00	60	71
19:10	79	76
19:20	83	87
19:30	94	106
19:40	98	133
19:50	87	137
20:00	93	122
20:10	103	123
20:20	124	134
20:30	133	142
20:40	145	173
20:50	144	174
21:00	150	181
21:10	156	214
21:20	171	222
21:30	220	197
21:40	211	193
21:50	216	210
22:00	204	211
22:10	199	213
22:20	203	228
22:30	209	272
22:40	196	264
22:50	169	222
23:00	159	212
23:10	182	199
23:20	197	187
23:30	204	189
23:40	205	145
23:50	204	204
