date	close	actual
5:00	392	331
5:10	392	443
5:20	332	469
5:30	145	123
5:40	132	127
5:50	125	157
6:00	137	178
6:10	163	197
6:20	220	182
6:30	101	94
6:40	91	103
6:50	60	103
7:00	47	67
7:10	48	80
7:20	65	84
7:30	67	91
7:40	57	83
7:50	55	108
8:00	48	78
8:10	44	67
8:20	51	93
8:30	55	88
8:40	54	121
8:50	50	98
9:00	53	91
9:10	48	78
9:20	41	88
9:30	43	68
9:40	57	93
9:50	66	130
10:00	80	116
10:10	96	178
10:20	121	210
10:30	134	198
10:40	154	211
10:50	177	214
11:00	180	191
11:10	154	192
11:20	157	202
11:30	135	157
11:40	135	178
11:50	132	180
12:00	136	198
12:10	139	221
12:20	153	194
12:30	139	194
12:40	147	179
12:50	162	229
13:00	161	177
13:10	157	175
13:20	152	221
13:30	143	220
13:40	152	247
13:50	145	208
14:00	151	341
14:10	138	208
14:20	127	183
14:30	104	121
14:40	108	123
14:50	100	124
15:00	85	94
15:10	80	103
15:20	86	124
15:30	91	87
15:40	71	96
15:50	73	100
16:00	71	107
16:10	85	103
16:20	88	139
16:30	95	191
16:40	101	143
16:50	115	178
17:00	83	136
17:10	83	140
17:20	76	122
17:30	81	103
17:40	74	97
17:50	75	85
18:00	68	98
18:10	77	104
18:20	76	89
18:30	60	105
18:40	73	106
18:50	81	122
19:00	77	112
19:10	73	116
19:20	76	110
19:30	79	93
19:40	80	86
19:50	87	109
20:00	72	126
20:10	82	108
20:20	110	121
20:30	111	149
20:40	119	142
20:50	116	132
21:00	149	211
21:10	170	259
21:20	202	284
21:30	239	221
21:40	233	225
21:50	212	245
22:00	210	256
22:10	199	251
22:20	200	242
22:30	200	249
22:40	189	247
22:50	161	187
23:00	153	185
23:10	182	181
23:20	200	237
23:30	205	238
23:40	207	192
23:50	206	191
