date	close	actual
4:40	450	523
4:50	450	526
5:00	435	540
5:10	128	146
5:20	234	386
5:30	129	163
5:40	113	126
5:50	125	140
6:00	88	122
6:10	66	74
6:20	70	80
6:30	48	67
6:40	43	92
6:50	47	59
7:00	38	69
7:10	40	60
7:20	64	78
7:30	79	83
7:40	75	100
7:50	62	95
8:00	63	91
8:10	48	101
8:20	46	94
8:30	34	77
8:40	40	65
8:50	44	81
9:00	54	71
9:10	69	106
9:20	92	143
9:30	101	152
9:40	122	172
9:50	121	194
10:00	137	158
10:10	149	165
10:20	135	121
10:30	147	172
10:40	136	180
10:50	131	142
11:00	131	197
11:10	141	216
11:20	162	196
11:30	158	213
11:40	161	179
11:50	148	181
12:00	153	173
12:10	138	156
12:20	138	176
12:30	136	192
12:40	131	172
12:50	130	205
13:00	130	203
13:10	111	170
13:20	97	124
13:30	88	148
13:40	87	121
13:50	78	85
14:00	75	124
14:10	76	97
14:20	73	140
14:30	68	115
14:40	77	101
14:50	80	129
15:00	85	139
15:10	82	143
15:20	87	119
15:30	87	136
15:40	94	129
15:50	96	141
16:00	77	108
16:10	81	96
16:20	81	85
16:30	80	116
16:40	84	136
16:50	92	124
17:00	97	128
17:10	97	149
17:20	91	139
17:30	98	149
17:40	103	193
17:50	76	153
18:00	80	142
18:10	73	116
18:20	67	91
18:30	66	71
18:40	62	87
18:50	69	90
19:00	81	88
19:10	98	153
19:20	102	129
19:30	109	127
19:40	108	164
19:50	115	153
20:00	150	155
20:10	139	177
20:20	171	270
20:30	151	211
20:40	189	236
20:50	201	227
21:00	205	215
21:10	199	211
21:20	215	269
21:30	213	224
21:40	210	268
21:50	213	257
22:00	200	221
22:10	206	215
22:20	199	201
22:30	200	207
22:40	185	216
22:50	144	228
23:00	157	171
23:10	176	169
23:20	325	353
23:30	376	372
23:40	333	369
23:50	322	444
