date	close	actual
3:20	450	502
3:30	450	539
3:40	450	593
4:00	1985	2053
4:10	1966	2207
5:10	115	122
5:20	113	145
5:30	113	151
5:40	124	116
5:50	124	100
6:00	62	58
6:10	54	58
6:20	36	42
6:30	20	34
6:40	14	27
6:50	17	37
7:00	20	26
7:10	20	31
7:20	21	33
7:30	21	33
7:40	22	30
7:50	20	24
8:00	21	24
8:10	23	41
8:20	24	65
8:30	27	66
8:40	43	54
8:50	51	63
9:00	64	84
9:10	86	106
9:20	85	107
9:30	103	113
9:40	104	130
9:50	126	136
10:00	137	160
10:10	146	158
10:20	139	152
10:30	128	140
10:40	143	129
10:50	183	155
11:00	147	216
11:10	138	163
11:20	143	171
11:30	139	173
11:40	138	174
11:50	137	178
12:00	157	132
12:10	158	195
12:20	156	193
12:30	145	150
12:40	145	168
12:50	158	163
13:00	154	178
13:10	161	150
13:20	166	190
13:30	156	182
13:40	124	149
13:50	101	133
14:00	76	99
14:10	77	113
14:20	60	66
14:30	71	108
14:40	66	104
14:50	58	99
15:00	49	77
15:10	48	77
15:20	44	92
15:30	39	120
15:40	46	97
15:50	73	116
16:00	69	96
16:10	66	165
16:20	49	119
16:30	65	126
16:40	71	111
16:50	50	70
17:00	46	65
17:10	48	67
17:20	51	100
17:30	49	82
17:40	47	81
17:50	42	64
18:00	51	61
18:10	67	80
18:20	93	113
18:30	102	114
18:40	84	172
18:50	76	88
19:00	76	71
19:10	73	114
19:20	63	97
19:30	135	249
19:40	164	298
19:50	225	225
20:00	231	214
20:10	291	272
20:20	283	263
20:30	213	325
20:40	168	328
20:50	275	268
21:00	263	259
21:10	300	345
21:20	287	323
21:30	200	244
21:40	200	218
21:50	230	194
22:00	232	199
22:10	232	322
22:20	232	317
22:30	200	151
22:40	200	144
22:50	230	235
23:00	231	255
23:10	200	264
23:20	200	259
23:30	229	201
23:40	205	152
23:50	190	191
