date	close	actual
4:50	241	252
5:00	230	241
5:10	215	234
5:20	200	249
5:30	162	190
5:40	142	148
5:50	133	114
6:00	57	57
6:10	28	38
6:20	19	36
6:30	21	44
6:40	21	43
6:50	24	37
7:00	33	66
7:10	23	42
7:20	19	30
7:30	17	30
7:40	18	32
7:50	17	33
8:00	17	33
8:10	16	30
8:20	17	30
8:30	16	30
8:40	16	33
8:50	20	32
9:00	34	54
9:10	45	74
9:20	58	112
9:30	73	109
9:40	71	102
9:50	68	97
10:00	69	98
10:10	65	91
10:20	69	99
10:30	69	105
10:40	73	118
10:50	66	97
11:00	62	84
11:10	61	66
11:20	71	77
11:30	79	97
11:40	73	102
11:50	69	104
12:00	70	100
12:10	70	107
12:20	69	96
12:30	70	113
12:40	71	110
12:50	75	102
13:00	80	120
13:10	78	92
13:20	78	140
13:30	73	136
13:40	63	125
13:50	57	131
14:00	46	139
14:10	43	126
14:20	41	102
14:30	38	116
14:40	39	96
14:50	43	90
15:00	56	125
15:10	75	314
15:20	59	246
15:30	59	275
15:40	36	124
15:50	40	90
16:00	30	53
16:10	30	54
16:20	30	48
16:30	28	49
16:40	33	56
16:50	28	51
17:00	29	64
17:10	27	66
17:20	31	62
17:30	34	81
17:40	35	72
17:50	28	58
18:00	25	47
18:10	26	44
18:20	28	54
18:30	31	59
18:40	31	55
18:50	43	54
19:00	53	82
19:10	69	79
19:20	78	97
19:30	91	113
19:40	110	139
19:50	104	178
20:00	105	185
20:10	126	182
20:20	130	174
20:30	140	176
20:40	138	174
20:50	146	200
21:00	151	197
21:10	126	152
21:20	123	151
21:30	113	138
21:40	123	145
21:50	137	168
22:00	152	184
22:10	183	212
22:20	182	211
22:30	159	151
22:40	150	124
22:50	125	136
23:00	149	257
23:10	178	234
23:20	224	260
23:30	232	266
23:40	215	202
23:50	211	144
