date	close	actual
5:00	61	72
5:10	61	53
5:20	72	53
5:30	70	81
5:40	70	63
5:50	102	95
6:00	92	85
6:10	37	54
6:20	26	42
6:30	17	28
6:40	18	36
6:50	21	44
7:00	21	40
7:10	18	34
7:20	17	27
7:30	18	30
7:40	15	33
7:50	16	721
8:00	21	720
8:10	23	39
8:20	26	39
8:30	21	38
8:40	20	37
8:50	22	33
9:00	34	53
9:10	39	72
9:20	60	88
9:30	76	102
9:40	84	88
9:50	82	91
10:00	98	120
10:10	82	113
10:20	73	113
10:30	73	105
10:40	70	95
10:50	69	95
11:00	78	77
11:10	88	132
11:20	78	181
11:30	80	115
11:40	68	115
11:50	74	109
12:00	79	140
12:10	83	120
12:20	84	86
12:30	80	61
12:40	79	528
12:50	83	300
13:00	90	341
13:10	88	122
13:20	90	135
13:30	83	146
13:40	102	174
13:50	76	83
14:00	49	60
14:10	40	43
14:20	18	41
14:30	20	49
14:40	23	64
14:50	35	81
15:00	41	99
15:10	42	81
15:20	39	114
15:30	36	62
15:40	45	92
15:50	49	102
16:00	44	69
16:10	43	66
16:20	41	53
16:30	38	69
16:40	39	57
16:50	35	51
17:00	29	65
17:10	29	50
17:20	29	48
17:30	31	43
17:40	36	56
17:50	40	58
18:00	33	56
18:10	31	38
18:20	29	45
18:30	31	47
18:40	33	64
18:50	37	70
19:00	56	84
19:10	77	90
19:20	88	76
19:30	89	88
19:40	89	91
19:50	100	128
20:00	111	162
20:10	144	203
20:20	112	112
20:30	110	109
20:40	112	116
20:50	110	135
21:00	131	150
21:10	168	175
21:20	158	160
21:30	140	147
21:40	132	146
21:50	139	137
22:00	150	129
22:10	157	152
22:20	156	187
22:30	145	149
22:40	156	157
22:50	120	188
23:00	177	216
23:10	200	159
23:20	200	206
23:30	200	230
23:40	200	203
23:50	200	180
