date	close	actual
5:20	25	33
5:30	27	31
5:40	28	33
5:50	39	52
6:00	55	67
6:10	49	87
6:20	47	55
6:30	36	48
6:40	38	47
6:50	41	52
7:00	42	52
7:10	32	44
7:20	26	58
7:30	23	43
7:40	24	37
7:50	23	33
8:00	21	35
8:10	24	29
8:20	20	31
8:30	20	30
8:40	21	28
8:50	21	36
9:00	31	41
9:10	42	46
9:20	58	76
9:30	73	90
9:40	78	87
9:50	75	76
10:00	77	85
10:10	76	126
10:20	73	107
10:30	72	106
10:40	72	93
10:50	72	64
11:00	72	79
11:10	75	87
11:20	76	97
11:30	80	111
11:40	82	102
11:50	89	90
12:00	88	107
12:10	85	89
12:20	84	96
12:30	90	129
12:40	88	226
12:50	92	591
13:00	95	805
13:10	93	97
13:20	114	106
13:30	97	129
13:40	95	107
13:50	91	107
14:00	82	104
14:10	42	98
14:20	48	56
14:30	81	103
14:40	77	92
14:50	77	100
15:00	71	76
15:10	71	80
15:20	74	86
15:30	69	101
15:40	65	91
15:50	68	88
16:00	69	85
16:10	59	78
16:20	45	73
16:30	42	55
16:40	41	55
16:50	37	62
17:00	36	60
17:10	32	67
17:20	28	42
17:30	28	39
17:40	26	31
17:50	30	36
18:00	26	34
18:10	25	31
18:20	25	38
18:30	24	43
18:40	25	41
18:50	27	35
19:00	36	43
19:10	41	52
19:20	47	55
19:30	53	58
19:40	58	66
19:50	60	71
20:00	66	82
20:10	67	75
20:20	80	78
20:30	79	97
20:40	83	115
20:50	71	113
21:00	53	79
21:10	59	81
21:20	81	140
21:30	88	159
21:40	82	120
21:50	82	82
22:00	89	91
22:10	81	98
22:20	74	91
22:30	77	92
22:40	81	84
22:50	82	76
23:00	79	81
23:10	75	94
23:20	59	98
23:30	62	81
23:40	82	72
23:50	83	84
