date	close	actual
5:10	113	127
5:20	85	90
5:30	43	46
5:40	37	76
5:50	41	51
6:00	40	55
6:10	31	53
6:20	34	47
6:30	58	71
6:40	75	84
6:50	72	76
7:00	57	73
7:10	63	86
7:20	71	100
7:30	67	92
7:40	51	72
7:50	48	52
8:00	33	59
8:10	21	32
8:20	32	41
8:30	28	30
8:40	23	50
8:50	24	48
9:00	29	38
9:10	44	57
9:20	56	65
9:30	82	101
9:40	91	119
9:50	94	121
10:00	98	95
10:10	82	160
10:20	88	117
10:30	82	105
10:40	73	67
10:50	80	82
11:00	85	104
11:10	94	109
11:20	93	94
11:30	82	106
11:40	85	135
11:50	76	103
12:00	79	94
12:10	93	113
12:20	83	128
12:30	95	122
12:40	81	120
12:50	80	105
13:00	70	90
13:10	67	72
13:20	59	70
13:30	73	107
13:40	78	113
13:50	81	118
14:00	49	56
14:10	44	53
14:20	42	57
14:30	47	81
14:40	47	68
14:50	36	72
15:00	24	49
15:10	20	47
15:20	22	44
15:30	24	54
15:40	21	43
15:50	22	63
16:00	20	59
16:10	19	59
16:20	16	76
16:30	15	56
16:40	18	65
16:50	19	71
17:00	20	70
17:10	24	67
17:20	20	70
17:30	20	105
17:40	17	94
17:50	17	85
18:00	21	112
18:10	25	120
18:20	22	105
18:30	20	84
18:40	22	88
18:50	28	73
19:00	49	80
19:10	55	80
19:20	66	125
19:30	57	94
19:40	80	103
19:50	73	127
20:00	66	90
20:10	56	89
20:20	53	93
20:30	55	84
20:40	54	79
20:50	56	74
21:00	70	79
21:10	65	87
21:20	60	73
21:30	53	69
21:40	55	76
21:50	51	61
22:00	59	69
22:10	55	76
22:20	44	60
22:30	32	41
22:40	34	50
22:50	45	54
23:00	59	70
23:10	72	71
23:20	83	72
23:30	90	115
23:40	95	109
23:50	107	152
