date	close	actual
5:00	249	232
5:10	249	276
5:20	217	221
5:30	200	197
5:40	162	174
5:50	145	152
6:00	81	77
6:10	43	48
6:20	35	34
6:30	49	51
6:40	58	67
6:50	36	42
7:00	25	31
7:10	34	41
7:20	26	32
7:30	25	38
7:40	25	35
7:50	26	32
8:00	23	43
8:10	19	46
8:20	24	44
8:30	22	34
8:40	32	39
8:50	29	47
9:00	35	55
9:10	35	41
9:20	30	43
9:30	59	52
9:40	58	82
9:50	56	80
10:00	68	86
10:10	84	114
10:20	121	170
10:30	123	115
10:40	129	127
10:50	129	118
11:00	121	155
11:10	115	145
11:20	116	113
11:30	122	111
11:40	133	144
11:50	140	157
12:00	141	174
12:10	145	171
12:20	142	146
12:30	190	196
12:40	186	186
12:50	185	189
13:00	123	137
13:10	122	123
13:20	119	118
13:30	122	124
13:40	124	157
13:50	130	163
14:00	128	166
14:10	115	147
14:20	94	86
14:30	89	72
14:40	101	99
14:50	116	136
15:00	85	119
15:10	58	94
15:20	45	67
15:30	53	54
15:40	51	53
15:50	44	56
16:00	29	41
16:10	20	34
16:20	19	32
16:30	21	32
16:40	20	30
16:50	20	28
17:00	18	48
17:10	22	252
17:20	23	278
17:30	20	162
17:40	23	26
17:50	16	23
18:00	16	26
18:10	17	29
18:20	17	27
18:30	16	28
18:40	15	19
18:50	14	17
19:00	12	20
19:10	20	34
19:20	24	53
19:30	28	63
19:40	38	51
19:50	56	76
20:00	70	124
20:10	105	119
20:20	166	141
20:30	142	181
20:40	116	175
20:50	70	95
21:00	84	86
21:10	112	98
21:20	132	118
21:30	171	198
21:40	200	255
21:50	200	226
22:00	200	199
22:10	200	222
22:20	200	216
22:30	199	214
22:40	200	232
22:50	200	165
23:00	200	137
23:10	147	194
23:20	165	182
23:30	262	230
23:40	270	262
23:50	121	165
