date	close	actual
4:40	91	170
4:50	84	112
5:00	102	113
5:10	83	88
5:20	50	53
5:30	76	81
5:40	125	202
5:50	31	67
6:00	86	78
6:10	95	70
6:20	76	97
6:30	67	85
6:40	67	74
6:50	101	88
7:00	94	82
7:10	126	163
7:20	110	217
7:30	67	115
7:40	180	367
7:50	54	116
8:00	81	218
8:10	59	52
8:20	45	54
8:30	36	45
8:40	34	48
8:50	38	70
9:00	31	52
9:10	41	50
9:20	45	51
9:30	40	48
9:40	48	65
9:50	51	59
10:00	60	72
10:10	64	86
10:20	62	78
10:30	66	78
10:40	67	59
10:50	75	75
11:00	82	102
11:10	82	99
11:20	85	161
11:30	84	97
11:40	83	95
11:50	77	73
12:00	81	120
12:10	82	108
12:20	81	110
12:30	85	93
12:40	81	74
12:50	79	105
13:00	79	104
13:10	76	105
13:20	73	87
13:30	62	72
13:40	58	87
13:50	54	83
14:00	56	72
14:10	60	75
14:20	64	112
14:30	82	184
14:40	77	156
14:50	50	105
15:00	44	63
15:10	47	69
15:20	40	52
15:30	44	77
15:40	45	72
15:50	64	91
16:00	57	80
16:10	57	81
16:20	44	61
16:30	61	85
16:40	87	143
16:50	70	89
17:00	75	113
17:10	53	92
17:20	55	89
17:30	56	79
17:40	57	85
17:50	52	71
18:00	51	89
18:10	51	71
18:20	45	61
18:30	45	58
18:40	52	81
18:50	64	120
19:00	63	129
19:10	67	125
19:20	53	82
19:30	52	59
19:40	62	62
19:50	68	81
20:00	75	88
20:10	162	165
20:20	65	74
20:30	76	102
20:40	99	122
20:50	66	80
21:00	77	112
21:10	74	76
21:20	95	116
21:30	94	101
21:40	92	104
21:50	88	95
22:00	94	93
22:10	99	98
22:20	85	102
22:30	81	114
22:40	93	119
22:50	90	124
23:00	93	92
23:10	93	93
23:20	88	78
23:30	97	119
23:40	88	112
23:50	84	94
