date	close	actual
5:10	1043	1090
5:20	1189	1201
5:30	125	141
5:40	113	112
5:50	113	64
6:00	138	161
6:10	138	190
6:20	184	188
6:30	66	51
6:40	41	44
6:50	26	33
7:00	25	36
7:10	25	38
7:20	24	34
7:30	27	39
7:40	27	34
7:50	25	29
8:00	24	34
8:10	27	40
8:20	27	48
8:30	29	41
8:40	30	40
8:50	58	64
9:00	75	95
9:10	91	116
9:20	88	108
9:30	81	120
9:40	96	93
9:50	106	160
10:00	114	138
10:10	108	127
10:20	114	98
10:30	126	139
10:40	137	150
10:50	141	176
11:00	133	161
11:10	153	158
11:20	144	181
11:30	153	185
11:40	168	198
11:50	157	204
12:00	173	225
12:10	148	124
12:20	151	131
12:30	146	218
12:40	146	232
12:50	145	259
13:00	148	164
13:10	151	230
13:20	160	246
13:30	161	235
13:40	148	112
13:50	187	187
14:00	123	103
14:10	54	120
14:20	46	82
14:30	59	106
14:40	89	83
14:50	63	118
15:00	104	355
15:10	76	222
15:20	50	160
15:30	46	99
15:40	93	145
15:50	78	131
16:00	101	132
16:10	74	89
16:20	67	87
16:30	67	66
16:40	60	72
16:50	52	61
17:00	54	82
17:10	62	99
17:20	64	99
17:30	61	92
17:40	57	86
17:50	44	76
18:00	51	91
18:10	42	114
18:20	54	125
18:30	68	108
18:40	71	104
18:50	91	99
19:00	156	131
19:10	159	211
19:20	194	212
19:30	195	238
19:40	225	291
19:50	199	228
20:00	217	186
20:10	186	162
20:20	173	213
20:30	181	240
20:40	190	185
20:50	198	194
21:00	215	270
21:10	213	297
21:20	227	261
21:30	246	232
21:40	232	261
21:50	225	269
22:00	223	226
22:10	188	176
22:20	182	208
22:30	200	238
22:40	205	229
22:50	199	186
23:00	199	183
23:10	193	184
23:20	201	231
23:30	182	221
23:40	182	241
23:50	182	242
