date	close	actual
5:00	70	88
5:10	70	102
5:20	77	76
5:30	71	53
5:40	74	125
5:50	104	123
6:00	86	110
6:10	41	69
6:20	36	59
6:30	32	58
6:40	27	43
6:50	26	42
7:00	26	45
7:10	21	36
7:20	20	36
7:30	21	40
7:40	22	44
7:50	25	57
8:00	31	62
8:10	29	51
8:20	32	61
8:30	30	49
8:40	27	54
8:50	26	41
9:00	35	56
9:10	43	75
9:20	63	111
9:30	82	104
9:40	77	86
9:50	76	91
10:00	74	106
10:10	86	116
10:20	80	105
10:30	76	93
10:40	81	113
10:50	77	101
11:00	80	129
11:10	79	127
11:20	79	97
11:30	86	100
11:40	81	122
11:50	75	138
12:00	76	131
12:10	78	117
12:20	81	110
12:30	84	103
12:40	89	101
12:50	103	182
13:00	109	204
13:10	106	215
13:20	87	175
13:30	79	140
13:40	124	179
13:50	71	139
14:00	55	131
14:10	43	59
14:20	25	42
14:30	20	56
14:40	22	70
14:50	45	133
15:00	50	129
15:10	41	101
15:20	42	130
15:30	40	138
15:40	40	136
15:50	39	84
16:00	38	74
16:10	39	73
16:20	40	62
16:30	38	72
16:40	42	88
16:50	40	87
17:00	42	103
17:10	44	98
17:20	47	110
17:30	37	81
17:40	33	54
17:50	37	52
18:00	39	46
18:10	41	59
18:20	43	75
18:30	38	75
18:40	40	81
18:50	39	66
19:00	43	50
19:10	60	73
19:20	83	103
19:30	94	132
19:40	97	125
19:50	105	165
20:00	105	148
20:10	125	178
20:20	121	126
20:30	129	166
20:40	134	167
20:50	132	177
21:00	134	201
21:10	138	198
21:20	155	168
21:30	138	149
21:40	131	149
21:50	129	156
22:00	142	179
22:10	149	189
22:20	146	145
22:30	148	122
22:40	164	153
22:50	182	217
23:00	194	190
23:10	169	138
23:20	200	278
23:30	208	337
23:40	203	148
23:50	200	126
