date	close	actual
4:50	390	450
5:00	404	433
5:10	411	467
5:20	200	202
5:30	200	241
5:40	233	231
5:50	276	216
6:00	127	132
6:10	35	46
6:20	38	48
6:30	27	45
6:40	25	39
6:50	40	46
7:00	48	53
7:10	40	62
7:20	39	72
7:30	38	62
7:40	39	60
7:50	40	60
8:00	37	60
8:10	47	95
8:20	43	84
8:30	47	99
8:40	48	120
8:50	53	70
9:00	56	82
9:10	91	89
9:20	108	105
9:30	118	131
9:40	112	143
9:50	107	139
10:00	106	134
10:10	106	126
10:20	111	171
10:30	120	176
10:40	123	166
10:50	116	116
11:00	112	101
11:10	106	100
11:20	103	138
11:30	102	107
11:40	103	131
11:50	110	120
12:00	121	153
12:10	125	186
12:20	122	169
12:30	122	129
12:40	119	126
12:50	119	139
13:00	128	195
13:10	125	173
13:20	125	178
13:30	126	146
13:40	112	140
13:50	96	121
14:00	108	102
14:10	101	165
14:20	125	153
14:30	132	129
14:40	88	98
14:50	89	109
15:00	91	114
15:10	120	139
15:20	154	171
15:30	156	211
15:40	172	255
15:50	191	234
16:00	176	212
16:10	159	172
16:20	144	149
16:30	74	111
16:40	62	97
16:50	58	83
17:00	58	100
17:10	56	74
17:20	41	77
17:30	42	80
17:40	47	80
17:50	51	66
18:00	57	72
18:10	58	63
18:20	52	68
18:30	61	94
18:40	79	102
18:50	98	99
19:00	115	113
19:10	136	137
19:20	146	189
19:30	167	201
19:40	170	191
19:50	166	169
20:00	159	152
20:10	145	163
20:20	156	246
20:30	153	224
20:40	188	247
20:50	173	253
21:00	159	223
21:10	145	196
21:20	154	172
21:30	163	192
21:40	172	202
21:50	170	175
22:00	166	187
22:10	162	200
22:20	200	228
22:30	193	204
22:40	170	163
22:50	132	131
23:00	127	145
23:10	160	211
23:20	181	219
23:30	221	196
23:40	228	196
23:50	200	181
