date	close	actual
4:40	538	418
4:50	546	500
5:00	547	560
5:10	145	150
5:20	256	277
5:30	135	112
5:40	113	197
5:50	137	156
6:00	76	93
6:10	47	100
6:20	34	51
6:30	18	27
6:40	20	39
6:50	24	31
7:00	35	51
7:10	38	89
7:20	68	79
7:30	91	118
7:40	82	103
7:50	64	87
8:00	45	66
8:10	46	70
8:20	33	56
8:30	37	77
8:40	42	79
8:50	42	83
9:00	53	115
9:10	64	115
9:20	85	113
9:30	101	127
9:40	113	133
9:50	132	144
10:00	145	234
10:10	153	188
10:20	153	198
10:30	155	207
10:40	165	226
10:50	166	188
11:00	162	192
11:10	157	167
11:20	160	196
11:30	157	152
11:40	172	194
11:50	157	216
12:00	147	214
12:10	155	190
12:20	158	188
12:30	162	210
12:40	155	191
12:50	164	188
13:00	165	230
13:10	188	218
13:20	201	213
13:30	201	196
13:40	148	194
13:50	75	113
14:00	74	95
14:10	59	108
14:20	63	125
14:30	67	150
14:40	68	123
14:50	68	111
15:00	71	118
15:10	80	121
15:20	71	114
15:30	75	115
15:40	68	115
15:50	68	101
16:00	75	115
16:10	66	115
16:20	88	112
16:30	87	102
16:40	78	80
16:50	100	132
17:00	85	95
17:10	66	98
17:20	81	126
17:30	76	95
17:40	66	118
17:50	75	96
18:00	69	110
18:10	64	87
18:20	60	84
18:30	64	82
18:40	57	78
18:50	51	87
19:00	45	94
19:10	48	74
19:20	106	155
19:30	132	199
19:40	189	261
19:50	201	285
20:00	225	239
20:10	228	210
20:20	215	200
20:30	210	205
20:40	205	220
20:50	200	200
21:00	218	277
21:10	218	239
21:20	234	241
21:30	238	285
21:40	209	237
21:50	182	258
22:00	183	253
22:10	183	225
22:20	200	186
22:30	200	207
22:40	200	221
22:50	200	207
23:00	221	224
23:10	209	215
23:20	242	352
23:30	237	320
23:40	301	281
23:50	300	337
