date	close	actual
4:40	512	336
4:50	512	411
5:00	397	450
5:10	396	506
5:20	337	441
5:30	157	134
5:40	144	139
5:50	166	139
6:00	167	177
6:10	159	183
6:20	136	195
6:30	97	153
6:40	80	124
6:50	75	124
7:00	63	118
7:10	63	93
7:20	66	69
7:30	81	74
7:40	81	98
7:50	59	106
8:00	85	122
8:10	55	92
8:20	69	192
8:30	53	155
8:40	51	89
8:50	67	91
9:00	66	109
9:10	49	69
9:20	40	62
9:30	39	54
9:40	68	103
9:50	72	103
10:00	71	92
10:10	112	181
10:20	172	219
10:30	145	125
10:40	149	152
10:50	157	203
11:00	148	162
11:10	147	184
11:20	145	189
11:30	145	204
11:40	145	207
11:50	149	159
12:00	153	179
12:10	155	209
12:20	151	195
12:30	153	187
12:40	148	192
12:50	145	169
13:00	155	154
13:10	164	215
13:20	163	178
13:30	163	232
13:40	168	318
13:50	131	170
14:00	145	182
14:10	86	138
14:20	84	152
14:30	74	159
14:40	93	203
14:50	99	223
15:00	77	110
15:10	63	81
15:20	75	109
15:30	76	119
15:40	108	138
15:50	94	161
16:00	98	182
16:10	82	164
16:20	79	121
16:30	101	142
16:40	76	135
16:50	77	93
17:00	79	126
17:10	70	150
17:20	78	112
17:30	69	115
17:40	67	145
17:50	87	84
18:00	71	86
18:10	75	127
18:20	80	108
18:30	62	83
18:40	64	85
18:50	51	78
19:00	53	72
19:10	71	108
19:20	74	105
19:30	102	132
19:40	112	125
19:50	105	116
20:00	96	92
20:10	110	121
20:20	120	121
20:30	138	178
20:40	143	140
20:50	144	164
21:00	151	198
21:10	182	204
21:20	197	193
21:30	243	266
21:40	242	275
21:50	239	242
22:00	216	233
22:10	198	233
22:20	198	279
22:30	198	213
22:40	188	188
22:50	155	165
23:00	169	215
23:10	196	233
23:20	220	267
23:30	211	219
23:40	198	155
23:50	198	193
