date	close	actual
4:40	184	201
4:50	183	184
5:00	162	186
5:10	163	184
5:20	218	207
5:30	215	205
5:40	47	57
5:50	53	71
6:00	34	52
6:10	52	55
6:20	50	52
6:30	32	47
6:40	48	51
6:50	48	48
7:00	28	89
7:10	25	69
7:20	25	42
7:30	28	51
7:40	44	47
7:50	56	61
8:00	33	64
8:10	37	71
8:20	32	58
8:30	61	71
8:40	59	98
8:50	66	86
9:00	72	65
9:10	81	80
9:20	74	90
9:30	106	113
9:40	114	121
9:50	109	117
10:00	98	91
10:10	124	165
10:20	133	215
10:30	138	126
10:40	155	205
10:50	162	240
11:00	114	102
11:10	126	135
11:20	127	133
11:30	147	167
11:40	145	133
11:50	145	116
12:00	111	109
12:10	121	131
12:20	118	106
12:30	133	156
12:40	134	152
12:50	144	151
13:00	167	152
13:10	141	183
13:20	127	184
13:30	135	123
13:40	138	129
13:50	141	134
14:00	145	153
14:10	106	105
14:20	110	125
14:30	90	141
14:40	66	90
14:50	98	96
15:00	103	101
15:10	87	90
15:20	52	77
15:30	26	46
15:40	16	37
15:50	22	43
16:00	22	33
16:10	27	51
16:20	25	47
16:30	17	46
16:40	25	52
16:50	30	39
17:00	29	53
17:10	26	67
17:20	24	75
17:30	24	61
17:40	28	54
17:50	30	52
18:00	27	69
18:10	24	74
18:20	20	64
18:30	36	61
18:40	42	74
18:50	41	66
19:00	43	64
19:10	53	82
19:20	57	72
19:30	94	116
19:40	94	119
19:50	125	126
20:00	145	168
20:10	150	184
20:20	225	256
20:30	238	290
20:40	262	246
20:50	260	238
21:00	259	223
21:10	309	365
21:20	303	349
21:30	307	312
21:40	307	319
21:50	223	219
22:00	310	310
22:10	274	276
22:20	303	297
22:30	278	297
22:40	256	346
22:50	308	313
23:00	308	293
23:10	306	331
23:20	310	327
23:30	219	194
23:40	205	187
23:50	239	224
